,date,furloughed,lockdown
357,2021-02-21,4872000,1
358,2021-02-22,4862700,1
359,2021-02-23,4857700,1
360,2021-02-24,4853900,1
361,2021-02-25,4849000,1
362,2021-02-26,4838000,1
363,2021-02-27,4770000,1
364,2021-02-28,4746000,1
365,2021-03-01,4574400,1
366,2021-03-02,4574500,1
367,2021-03-03,4574500,1
368,2021-03-04,4572900,1
369,2021-03-05,4572000,1
370,2021-03-06,4568500,1
371,2021-03-07,4566600,1
372,2021-03-08,4541000,1
373,2021-03-09,4536300,1
374,2021-03-10,4534900,1
375,2021-03-11,4533700,1
376,2021-03-12,4531000,1
377,2021-03-13,4527900,1
378,2021-03-14,4526600,1
379,2021-03-15,4513700,1
380,2021-03-16,4508400,1
381,2021-03-17,4507000,1
382,2021-03-18,4505700,1
383,2021-03-19,4503700,1
384,2021-03-20,4497600,1
385,2021-03-21,4493600,1
386,2021-03-22,4484700,1
387,2021-03-23,4482400,1
388,2021-03-24,4479700,1
389,2021-03-25,4476500,1
390,2021-03-26,4469200,1
391,2021-03-27,4440400,1
392,2021-03-28,4423900,1
393,2021-03-29,4353200,1
394,2021-03-30,4339700,1
395,2021-03-31,4319100,1
396,2021-04-01,3866600,1
397,2021-04-02,3868500,1
398,2021-04-03,3866600,1
399,2021-04-04,3862700,1
400,2021-04-05,3887900,1
401,2021-04-06,3880400,1
402,2021-04-07,3874100,1
403,2021-04-08,3865600,1
404,2021-04-09,3861000,1
405,2021-04-10,3852200,1
406,2021-04-11,3833200,1
407,2021-04-12,3729500,1
408,2021-04-13,3712600,0
409,2021-04-14,3709200,0
410,2021-04-15,3699800,0
411,2021-04-16,3692300,0
412,2021-04-17,3682900,0
413,2021-04-18,3678300,0
414,2021-04-19,3661000,0
415,2021-04-20,3657000,0
416,2021-04-21,3651600,0
417,2021-04-22,3646000,0
418,2021-04-23,3634800,0
419,2021-04-24,3625300,0
420,2021-04-25,3616900,0
421,2021-04-26,3579800,0
422,2021-04-27,3573500,0
423,2021-04-28,3569900,0
424,2021-04-29,3555000,0
425,2021-04-30,3543600,0
426,2021-05-01,2759600,0
427,2021-05-02,2761100,0
428,2021-05-03,2792700,0
429,2021-05-04,2792900,0
430,2021-05-05,2792200,0
431,2021-05-06,2791700,0
432,2021-05-07,2790500,0
433,2021-05-08,2786500,0
434,2021-05-09,2783700,0
435,2021-05-10,2772300,0
436,2021-05-11,2769200,0
437,2021-05-12,2767700,0
438,2021-05-13,2766200,0
439,2021-05-14,2762200,0
440,2021-05-15,2750500,0
441,2021-05-16,2733700,0
