,Quarter Ending,duration,value,order
85,30-Jun-19,Total Waiting,300551.0,Total Waiting
86,30-Jun-19,<9 weeks,99654.0,0
87,30-Jun-19,>9-52 weeks,95447.0,1
88,30-Jun-20,0 - 6 weeks,26799.0,0 - 6 weeks
89,30-Jun-20,> 6 - 9 weeks,6418.0,> 6 - 9 weeks
90,30-Jun-20,> 9 - 13 weeks,0.0,> 9 - 13 weeks
91,30-Jun-20,> 9 - 12 weeks,4661.0,> 9 - 12 weeks
92,30-Jun-20,> 12-15 weeks,6852.0,> 12-15 weeks
93,30-Jun-20,> 15-18 weeks,18946.0,> 15-18 weeks
94,30-Jun-20,>18-26 weeks,38466.0,>18-26 weeks
95,30-Jun-20,>26-39 weeks,40925.0,>26-39 weeks
96,30-Jun-20,>39-52 weeks,31746.0,>39-52 weeks
97,30-Jun-20,>52-65 weeks,26479.0,>52-65 weeks
98,30-Jun-20,>65-78 weeks,21090.0,>65-78 weeks
99,30-Jun-20,>78-91 weeks,17219.0,>78-91 weeks
100,30-Jun-20,>91-104 weeks,15066.0,>91-104 weeks
101,30-Jun-20,>104 weeks,56792.0,>104 weeks
102,30-Jun-20,>18 weeks,0.0,>18 weeks
103,30-Jun-20,>18-52 weeks,111137.0,>18-52 weeks
104,30-Jun-20,> 13 - 26 weeks,0.0,> 13 - 26 weeks
105,30-Jun-20,>52 weeks,136646.0,2
106,30-Jun-20,> 26 weeks,0.0,> 26 weeks
107,30-Jun-20,Total Waiting,311459.0,Total Waiting
108,30-Jun-20,<9 weeks,71109.0,0
109,30-Jun-20,>9-52 weeks,103704.0,1
110,30-Jun-2008,0 - 6 weeks,54493.0,0 - 6 weeks
111,30-Jun-2008,> 6 - 9 weeks,14370.0,> 6 - 9 weeks
112,30-Jun-2008,> 9 - 13 weeks,8146.0,> 9 - 13 weeks
113,30-Jun-2008,> 9 - 12 weeks,0.0,> 9 - 12 weeks
114,30-Jun-2008,> 12-15 weeks,0.0,> 12-15 weeks
115,30-Jun-2008,> 15-18 weeks,0.0,> 15-18 weeks
116,30-Jun-2008,>18-26 weeks,0.0,>18-26 weeks
117,30-Jun-2008,>26-39 weeks,0.0,>26-39 weeks
118,30-Jun-2008,>39-52 weeks,0.0,>39-52 weeks
119,30-Jun-2008,>52-65 weeks,0.0,>52-65 weeks
120,30-Jun-2008,>65-78 weeks,0.0,>65-78 weeks
121,30-Jun-2008,>78-91 weeks,0.0,>78-91 weeks
122,30-Jun-2008,>91-104 weeks,0.0,>91-104 weeks
123,30-Jun-2008,>104 weeks,0.0,>104 weeks
124,30-Jun-2008,>18 weeks,0.0,>18 weeks
125,30-Jun-2008,>18-52 weeks,0.0,>18-52 weeks
126,30-Jun-2008,> 13 - 26 weeks,70.0,> 13 - 26 weeks
127,30-Jun-2008,>52 weeks,0.0,2
128,30-Jun-2008,> 26 weeks,12.0,> 26 weeks
129,30-Jun-2008,Total Waiting,77091.0,Total Waiting
130,30-Jun-2008,<9 weeks,77091.0,0
131,30-Jun-2008,>9-52 weeks,0.0,1
132,30-Jun-2009,0 - 6 weeks,59380.0,0 - 6 weeks
133,30-Jun-2009,> 6 - 9 weeks,13493.0,> 6 - 9 weeks
134,30-Jun-2009,> 9 - 13 weeks,673.0,> 9 - 13 weeks
135,30-Jun-2009,> 9 - 12 weeks,0.0,> 9 - 12 weeks
136,30-Jun-2009,> 12-15 weeks,0.0,> 12-15 weeks
137,30-Jun-2009,> 15-18 weeks,0.0,> 15-18 weeks
138,30-Jun-2009,>18-26 weeks,0.0,>18-26 weeks
139,30-Jun-2009,>26-39 weeks,0.0,>26-39 weeks
140,30-Jun-2009,>39-52 weeks,0.0,>39-52 weeks
141,30-Jun-2009,>52-65 weeks,0.0,>52-65 weeks
142,30-Jun-2009,>65-78 weeks,0.0,>65-78 weeks
143,30-Jun-2009,>78-91 weeks,0.0,>78-91 weeks
144,30-Jun-2009,>91-104 weeks,0.0,>91-104 weeks
145,30-Jun-2009,>104 weeks,0.0,>104 weeks
146,30-Jun-2009,>18 weeks,0.0,>18 weeks
147,30-Jun-2009,>18-52 weeks,0.0,>18-52 weeks
148,30-Jun-2009,> 13 - 26 weeks,344.0,> 13 - 26 weeks
149,30-Jun-2009,>52 weeks,0.0,2
150,30-Jun-2009,> 26 weeks,97.0,> 26 weeks
151,30-Jun-2009,Total Waiting,73987.0,Total Waiting
152,30-Jun-2009,<9 weeks,73987.0,0
153,30-Jun-2009,>9-52 weeks,0.0,1
154,30-Jun-2010,0 - 6 weeks,61040.0,0 - 6 weeks
155,30-Jun-2010,> 6 - 9 weeks,20031.0,> 6 - 9 weeks
156,30-Jun-2010,> 9 - 13 weeks,13903.0,> 9 - 13 weeks
157,30-Jun-2010,> 9 - 12 weeks,0.0,> 9 - 12 weeks
