,date,region,dose,value
343,2021-07-06,England,2nd,59.0
344,2021-07-05,England,2nd,58.8
345,2021-07-04,England,2nd,58.6
346,2021-07-03,England,2nd,58.4
347,2021-07-02,England,2nd,58.0
348,2021-07-01,England,2nd,57.7
349,2021-06-30,England,2nd,57.4
350,2021-06-29,England,2nd,57.1
351,2021-06-28,England,2nd,56.9
352,2021-06-27,England,2nd,56.7
353,2021-06-26,England,2nd,56.5
354,2021-06-25,England,2nd,56.1
355,2021-06-24,England,2nd,55.8
356,2021-06-23,England,2nd,55.6
357,2021-06-22,England,2nd,55.3
358,2021-06-21,England,2nd,54.9
359,2021-06-20,England,2nd,54.9
360,2021-06-19,England,2nd,54.7
361,2021-06-18,England,2nd,54.3
362,2021-06-17,England,2nd,54.0
363,2021-06-16,England,2nd,53.6
364,2021-06-15,England,2nd,53.2
365,2021-06-14,England,2nd,52.8
366,2021-06-13,England,2nd,52.5
367,2021-06-12,England,2nd,52.2
368,2021-06-11,England,2nd,51.6
369,2021-06-10,England,2nd,51.1
370,2021-06-09,England,2nd,50.6
371,2021-06-08,England,2nd,50.0
372,2021-06-07,England,2nd,49.5
373,2021-06-06,England,2nd,49.0
374,2021-06-05,England,2nd,48.6
375,2021-06-04,England,2nd,47.7
376,2021-06-03,England,2nd,47.0
377,2021-06-02,England,2nd,46.4
378,2021-06-01,England,2nd,45.8
379,2021-05-31,England,2nd,45.2
380,2021-05-30,England,2nd,44.9
381,2021-05-29,England,2nd,44.5
382,2021-05-28,England,2nd,43.7
383,2021-05-27,England,2nd,43.0
384,2021-05-26,England,2nd,42.2
385,2021-05-25,England,2nd,41.4
386,2021-05-24,England,2nd,40.7
387,2021-05-23,England,2nd,40.2
388,2021-05-22,England,2nd,39.7
389,2021-05-21,England,2nd,38.7
390,2021-05-20,England,2nd,37.9
391,2021-05-19,England,2nd,37.1
392,2021-05-18,England,2nd,36.5
393,2021-05-17,England,2nd,35.9
394,2021-05-16,England,2nd,35.5
395,2021-05-15,England,2nd,35.2
396,2021-05-14,England,2nd,34.4
397,2021-05-13,England,2nd,33.7
398,2021-05-12,England,2nd,32.9
399,2021-05-11,England,2nd,32.1
400,2021-05-10,England,2nd,31.5
401,2021-05-09,England,2nd,31.1
402,2021-05-08,England,2nd,30.7
403,2021-05-07,England,2nd,29.9
404,2021-05-06,England,2nd,29.0
405,2021-05-05,England,2nd,28.2
406,2021-05-04,England,2nd,27.5
407,2021-05-03,England,2nd,27.0
408,2021-05-02,England,2nd,26.8
409,2021-05-01,England,2nd,26.5
410,2021-04-30,England,2nd,25.9
411,2021-04-29,England,2nd,25.1
412,2021-04-28,England,2nd,24.3
413,2021-04-27,England,2nd,23.5
414,2021-04-26,England,2nd,22.8
415,2021-04-25,England,2nd,22.3
416,2021-04-24,England,2nd,21.8
417,2021-04-23,England,2nd,20.9
418,2021-04-22,England,2nd,20.0
419,2021-04-21,England,2nd,19.3
420,2021-04-20,England,2nd,18.6
421,2021-04-19,England,2nd,18.1
422,2021-04-18,England,2nd,17.6
423,2021-04-17,England,2nd,17.2
424,2021-04-16,England,2nd,16.3
425,2021-04-15,England,2nd,15.3
426,2021-04-14,England,2nd,14.6
427,2021-04-13,England,2nd,14.0
428,2021-04-12,England,2nd,13.4
429,2021-04-11,England,2nd,13.1
430,2021-04-10,England,2nd,12.8
431,2021-04-09,England,2nd,11.9
432,2021-04-08,England,2nd,11.0
433,2021-04-07,England,2nd,10.2
434,2021-04-06,England,2nd,9.4
435,2021-04-05,England,2nd,9.1
436,2021-04-04,England,2nd,9.0
437,2021-04-03,England,2nd,8.9
438,2021-04-02,England,2nd,8.6
439,2021-04-01,England,2nd,8.1
440,2021-03-31,England,2nd,7.3
441,2021-03-30,England,2nd,6.6
442,2021-03-29,England,2nd,6.1
443,2021-03-28,England,2nd,5.8
444,2021-03-27,England,2nd,5.5
445,2021-03-26,England,2nd,5.1
446,2021-03-25,England,2nd,4.6
447,2021-03-24,England,2nd,4.2
448,2021-03-23,England,2nd,3.8
449,2021-03-22,England,2nd,3.5
450,2021-03-21,England,2nd,3.4
451,2021-03-20,England,2nd,3.3
452,2021-03-19,England,2nd,3.1
453,2021-03-18,England,2nd,2.9
454,2021-03-17,England,2nd,2.7
455,2021-03-16,England,2nd,2.5
456,2021-03-15,England,2nd,2.4
457,2021-03-14,England,2nd,2.3
458,2021-03-13,England,2nd,2.3
459,2021-03-12,England,2nd,2.2
460,2021-03-11,England,2nd,2.1
461,2021-03-10,England,2nd,1.9
462,2021-03-09,England,2nd,1.8
463,2021-03-08,England,2nd,1.7
464,2021-03-07,England,2nd,1.6
465,2021-03-06,England,2nd,1.6
466,2021-03-05,England,2nd,1.6
467,2021-03-04,England,2nd,1.5
468,2021-03-03,England,2nd,1.4
469,2021-03-02,England,2nd,1.3
470,2021-03-01,England,2nd,1.3
471,2021-02-28,England,2nd,1.2
472,2021-02-27,England,2nd,1.2
473,2021-02-26,England,2nd,1.2
474,2021-02-25,England,2nd,1.2
475,2021-02-24,England,2nd,1.1
476,2021-02-23,England,2nd,1.1
477,2021-02-22,England,2nd,1.1
478,2021-02-21,England,2nd,1.1
479,2021-02-20,England,2nd,1.1
480,2021-02-19,England,2nd,1.1
481,2021-02-18,England,2nd,1.0
482,2021-02-17,England,2nd,1.0
483,2021-02-16,England,2nd,1.0
484,2021-02-15,England,2nd,1.0
485,2021-02-14,England,2nd,1.0
486,2021-02-13,England,2nd,1.0
487,2021-02-12,England,2nd,1.0
488,2021-02-11,England,2nd,1.0
489,2021-02-10,England,2nd,1.0
490,2021-02-09,England,2nd,1.0
491,2021-02-08,England,2nd,1.0
492,2021-02-07,England,2nd,1.0
493,2021-02-06,England,2nd,1.0
494,2021-02-05,England,2nd,1.0
495,2021-02-04,England,2nd,1.0
496,2021-02-03,England,2nd,1.0
497,2021-02-02,England,2nd,1.0
498,2021-02-01,England,2nd,1.0
499,2021-01-31,England,2nd,1.0
500,2021-01-30,England,2nd,0.9
501,2021-01-29,England,2nd,0.9
502,2021-01-28,England,2nd,0.9
503,2021-01-27,England,2nd,0.9
504,2021-01-26,England,2nd,0.9
505,2021-01-25,England,2nd,0.9
506,2021-01-24,England,2nd,0.9
507,2021-01-23,England,2nd,0.9
508,2021-01-22,England,2nd,0.9
509,2021-01-21,England,2nd,0.9
510,2021-01-20,England,2nd,0.9
511,2021-01-19,England,2nd,0.9
512,2021-01-18,England,2nd,0.9
513,2021-01-17,England,2nd,0.9
514,2021-01-16,England,2nd,0.9
515,2021-01-15,England,2nd,0.9
516,2021-01-14,England,2nd,0.9
517,2021-01-13,England,2nd,0.9
518,2021-01-12,England,2nd,0.8
519,2021-01-11,England,2nd,0.8
520,2021-01-10,England,2nd,0.8
521,2022-02-05,Northern Ireland,2nd,82.3
522,2022-02-05,Northern Ireland,3rd,59.5
523,2022-02-04,Northern Ireland,2nd,82.3
524,2022-02-04,Northern Ireland,3rd,59.4
525,2022-02-03,Northern Ireland,2nd,82.2
526,2022-02-03,Northern Ireland,3rd,59.3
527,2022-02-02,Northern Ireland,2nd,82.2
528,2022-02-02,Northern Ireland,3rd,59.2
529,2022-02-01,Northern Ireland,2nd,82.2
530,2022-02-01,Northern Ireland,3rd,59.0
531,2022-01-31,Northern Ireland,2nd,82.2
532,2022-01-31,Northern Ireland,3rd,58.9
533,2022-01-30,Northern Ireland,2nd,82.2
534,2022-01-30,Northern Ireland,3rd,58.9
535,2022-01-29,Northern Ireland,2nd,82.1
536,2022-01-29,Northern Ireland,3rd,58.8
537,2022-01-28,Northern Ireland,2nd,82.1
538,2022-01-28,Northern Ireland,3rd,58.7
539,2022-01-27,Northern Ireland,2nd,82.1
540,2022-01-27,Northern Ireland,3rd,58.6
541,2022-01-26,Northern Ireland,2nd,82.0
542,2022-01-26,Northern Ireland,3rd,58.5
543,2022-01-25,Northern Ireland,2nd,82.0
544,2022-01-25,Northern Ireland,3rd,58.3
545,2022-01-24,Northern Ireland,2nd,82.0
546,2022-01-24,Northern Ireland,3rd,58.2
547,2022-01-23,Northern Ireland,2nd,81.9
548,2022-01-23,Northern Ireland,3rd,58.1
549,2022-01-22,Northern Ireland,2nd,81.9
550,2022-01-22,Northern Ireland,3rd,58.0
551,2022-01-21,Northern Ireland,2nd,81.8
552,2022-01-21,Northern Ireland,3rd,57.9
553,2022-01-20,Northern Ireland,2nd,81.8
554,2022-01-20,Northern Ireland,3rd,57.7
555,2022-01-19,Northern Ireland,2nd,81.8
556,2022-01-19,Northern Ireland,3rd,57.5
557,2022-01-18,Northern Ireland,2nd,81.7
558,2022-01-18,Northern Ireland,3rd,57.2
559,2022-01-17,Northern Ireland,2nd,81.7
560,2022-01-17,Northern Ireland,3rd,57.0
561,2022-01-16,Northern Ireland,2nd,81.7
562,2022-01-16,Northern Ireland,3rd,56.7
563,2022-01-15,Northern Ireland,2nd,81.6
564,2022-01-15,Northern Ireland,3rd,56.6
565,2022-01-14,Northern Ireland,2nd,81.6
566,2022-01-14,Northern Ireland,3rd,56.5
567,2022-01-13,Northern Ireland,2nd,81.6
568,2022-01-13,Northern Ireland,3rd,56.2
569,2022-01-12,Northern Ireland,2nd,81.5
570,2022-01-12,Northern Ireland,3rd,55.8
571,2022-01-11,Northern Ireland,2nd,81.5
572,2022-01-11,Northern Ireland,3rd,55.3
573,2022-01-10,Northern Ireland,2nd,81.5
574,2022-01-10,Northern Ireland,3rd,54.9
575,2022-01-09,Northern Ireland,2nd,81.4
576,2022-01-09,Northern Ireland,3rd,54.5
577,2022-01-08,Northern Ireland,2nd,81.4
578,2022-01-08,Northern Ireland,3rd,54.1
579,2022-01-07,Northern Ireland,2nd,81.4
580,2022-01-07,Northern Ireland,3rd,54.1
581,2022-01-06,Northern Ireland,2nd,81.4
582,2022-01-06,Northern Ireland,3rd,53.6
583,2022-01-05,Northern Ireland,2nd,81.3
584,2022-01-05,Northern Ireland,3rd,53.0
585,2022-01-04,Northern Ireland,2nd,81.2
586,2022-01-04,Northern Ireland,3rd,52.6
587,2022-01-03,Northern Ireland,2nd,81.2
588,2022-01-03,Northern Ireland,3rd,52.2
589,2022-01-02,Northern Ireland,2nd,81.2
590,2022-01-02,Northern Ireland,3rd,51.9
591,2022-01-01,Northern Ireland,2nd,81.1
592,2022-01-01,Northern Ireland,3rd,51.7
593,2021-12-31,Northern Ireland,2nd,81.1
594,2021-12-31,Northern Ireland,3rd,51.6
595,2021-12-30,Northern Ireland,2nd,81.1
596,2021-12-30,Northern Ireland,3rd,51.4
597,2021-12-29,Northern Ireland,2nd,81.1
598,2021-12-29,Northern Ireland,3rd,50.7
599,2021-12-28,Northern Ireland,2nd,81.1
600,2021-12-28,Northern Ireland,3rd,50.1
601,2021-12-27,Northern Ireland,2nd,81.0
602,2021-12-27,Northern Ireland,3rd,49.6
603,2021-12-26,Northern Ireland,2nd,81.0
604,2021-12-26,Northern Ireland,3rd,49.2
605,2021-12-25,Northern Ireland,2nd,81.0
606,2021-12-25,Northern Ireland,3rd,49.0
607,2021-12-24,Northern Ireland,2nd,81.0
608,2021-12-24,Northern Ireland,3rd,49.0
609,2021-12-23,Northern Ireland,2nd,81.0
610,2021-12-23,Northern Ireland,3rd,48.8
611,2021-12-22,Northern Ireland,2nd,81.0
612,2021-12-22,Northern Ireland,3rd,47.9
613,2021-12-21,Northern Ireland,2nd,80.9
614,2021-12-21,Northern Ireland,3rd,46.4
615,2021-12-20,Northern Ireland,2nd,80.9
616,2021-12-20,Northern Ireland,3rd,44.5
617,2021-12-19,Northern Ireland,2nd,80.8
618,2021-12-19,Northern Ireland,3rd,42.6
619,2021-12-18,Northern Ireland,2nd,80.8
620,2021-12-18,Northern Ireland,3rd,41.7
621,2021-12-17,Northern Ireland,2nd,80.7
622,2021-12-17,Northern Ireland,3rd,41.1
623,2021-12-16,Northern Ireland,2nd,80.7
624,2021-12-16,Northern Ireland,3rd,40.0
625,2021-12-15,Northern Ireland,2nd,80.6
626,2021-12-15,Northern Ireland,3rd,38.5
627,2021-12-14,Northern Ireland,2nd,80.5
628,2021-12-14,Northern Ireland,3rd,36.8
629,2021-12-13,Northern Ireland,2nd,80.5
630,2021-12-13,Northern Ireland,3rd,35.4
631,2021-12-12,Northern Ireland,2nd,80.4
632,2021-12-12,Northern Ireland,3rd,33.9
633,2021-12-11,Northern Ireland,2nd,80.3
634,2021-12-11,Northern Ireland,3rd,33.4
635,2021-12-10,Northern Ireland,2nd,80.3
636,2021-12-10,Northern Ireland,3rd,33.0
637,2021-12-09,Northern Ireland,2nd,80.3
638,2021-12-09,Northern Ireland,3rd,32.3
639,2021-12-08,Northern Ireland,2nd,80.2
640,2021-12-08,Northern Ireland,3rd,31.5
641,2021-12-07,Northern Ireland,2nd,80.1
642,2021-12-07,Northern Ireland,3rd,30.6
643,2021-12-06,Northern Ireland,2nd,80.1
644,2021-12-06,Northern Ireland,3rd,29.7
645,2021-12-05,Northern Ireland,2nd,80.0
646,2021-12-05,Northern Ireland,3rd,29.1
647,2021-12-04,Northern Ireland,2nd,79.9
648,2021-12-04,Northern Ireland,3rd,27.7
649,2021-12-03,Northern Ireland,2nd,79.9
650,2021-12-03,Northern Ireland,3rd,27.7
651,2021-12-02,Northern Ireland,2nd,79.8
652,2021-12-02,Northern Ireland,3rd,27.3
653,2021-12-01,Northern Ireland,2nd,79.7
654,2021-12-01,Northern Ireland,3rd,26.4
655,2021-11-30,Northern Ireland,2nd,79.7
656,2021-11-30,Northern Ireland,3rd,25.4
657,2021-11-29,Northern Ireland,2nd,79.6
658,2021-11-29,Northern Ireland,3rd,24.4
659,2021-11-28,Northern Ireland,2nd,79.5
660,2021-11-28,Northern Ireland,3rd,23.4
661,2021-11-27,Northern Ireland,2nd,79.3
662,2021-11-27,Northern Ireland,3rd,22.4
663,2021-11-26,Northern Ireland,2nd,79.3
664,2021-11-26,Northern Ireland,3rd,22.4
665,2021-11-25,Northern Ireland,2nd,79.3
666,2021-11-25,Northern Ireland,3rd,22.4
667,2021-11-24,Northern Ireland,2nd,79.2
668,2021-11-24,Northern Ireland,3rd,21.6
669,2021-11-23,Northern Ireland,2nd,79.1
670,2021-11-23,Northern Ireland,3rd,20.6
671,2021-11-22,Northern Ireland,2nd,79.0
672,2021-11-22,Northern Ireland,3rd,19.6
673,2021-11-21,Northern Ireland,2nd,78.9
674,2021-11-21,Northern Ireland,3rd,18.7
675,2021-11-20,Northern Ireland,2nd,78.9
676,2021-11-20,Northern Ireland,3rd,18.2
677,2021-11-19,Northern Ireland,2nd,78.9
678,2021-11-19,Northern Ireland,3rd,17.9
679,2021-11-18,Northern Ireland,2nd,78.8
680,2021-11-18,Northern Ireland,3rd,17.3
681,2021-11-17,Northern Ireland,2nd,78.8
682,2021-11-17,Northern Ireland,3rd,16.3
683,2021-11-16,Northern Ireland,2nd,78.7
