,date,region,dose,value
0,2022-02-05,England,2nd,84.2
1,2022-02-05,England,3rd,64.8
2,2022-02-04,England,2nd,84.2
3,2022-02-04,England,3rd,64.8
4,2022-02-03,England,2nd,84.1
5,2022-02-03,England,3rd,64.7
6,2022-02-02,England,2nd,84.1
7,2022-02-02,England,3rd,64.6
8,2022-02-01,England,2nd,84.0
9,2022-02-01,England,3rd,64.6
10,2022-01-31,England,2nd,84.0
11,2022-01-31,England,3rd,64.5
12,2022-01-30,England,2nd,83.9
13,2022-01-30,England,3rd,64.5
14,2022-01-29,England,2nd,83.9
15,2022-01-29,England,3rd,64.4
16,2022-01-28,England,2nd,83.8
17,2022-01-28,England,3rd,64.3
18,2022-01-27,England,2nd,83.8
19,2022-01-27,England,3rd,64.2
20,2022-01-26,England,2nd,83.7
21,2022-01-26,England,3rd,64.1
22,2022-01-25,England,2nd,83.7
23,2022-01-25,England,3rd,64.0
24,2022-01-24,England,2nd,83.6
25,2022-01-24,England,3rd,63.9
26,2022-01-23,England,2nd,83.6
27,2022-01-23,England,3rd,63.9
28,2022-01-22,England,2nd,83.5
29,2022-01-22,England,3rd,63.8
30,2022-01-21,England,2nd,83.4
31,2022-01-21,England,3rd,63.7
32,2022-01-20,England,2nd,83.4
33,2022-01-20,England,3rd,63.5
34,2022-01-19,England,2nd,83.3
35,2022-01-19,England,3rd,63.4
36,2022-01-18,England,2nd,83.3
37,2022-01-18,England,3rd,63.3
38,2022-01-17,England,2nd,83.2
39,2022-01-17,England,3rd,63.2
40,2022-01-16,England,2nd,83.2
41,2022-01-16,England,3rd,63.1
42,2022-01-15,England,2nd,83.1
43,2022-01-15,England,3rd,63.0
44,2022-01-14,England,2nd,83.0
45,2022-01-14,England,3rd,62.8
46,2022-01-13,England,2nd,83.0
47,2022-01-13,England,3rd,62.6
48,2022-01-12,England,2nd,82.9
49,2022-01-12,England,3rd,62.5
50,2022-01-11,England,2nd,82.9
51,2022-01-11,England,3rd,62.3
52,2022-01-10,England,2nd,82.8
53,2022-01-10,England,3rd,62.0
54,2022-01-09,England,2nd,82.8
55,2022-01-09,England,3rd,61.8
56,2022-01-08,England,2nd,82.7
57,2022-01-08,England,3rd,61.6
58,2022-01-07,England,2nd,82.6
59,2022-01-07,England,3rd,61.1
60,2022-01-06,England,2nd,82.6
61,2022-01-06,England,3rd,60.8
62,2022-01-05,England,2nd,82.5
63,2022-01-05,England,3rd,60.4
64,2022-01-04,England,2nd,82.5
65,2022-01-04,England,3rd,60.0
66,2022-01-03,England,2nd,82.4
67,2022-01-03,England,3rd,59.6
68,2022-01-02,England,2nd,82.3
69,2022-01-02,England,3rd,59.3
70,2022-01-01,England,2nd,82.3
71,2022-01-01,England,3rd,59.1
72,2021-12-31,England,2nd,82.3
73,2021-12-31,England,3rd,59.1
74,2021-12-30,England,2nd,82.3
75,2021-12-30,England,3rd,58.8
76,2021-12-29,England,2nd,82.2
77,2021-12-29,England,3rd,58.1
78,2021-12-28,England,2nd,82.1
79,2021-12-28,England,3rd,57.4
80,2021-12-27,England,2nd,82.1
81,2021-12-27,England,3rd,56.9
82,2021-12-26,England,2nd,82.0
83,2021-12-26,England,3rd,56.5
84,2021-12-25,England,2nd,82.0
85,2021-12-25,England,3rd,56.4
86,2021-12-24,England,2nd,82.0
87,2021-12-24,England,3rd,56.4
88,2021-12-23,England,2nd,82.0
89,2021-12-23,England,3rd,56.1
90,2021-12-22,England,2nd,81.9
91,2021-12-22,England,3rd,55.1
92,2021-12-21,England,2nd,81.8
93,2021-12-21,England,3rd,53.6
94,2021-12-20,England,2nd,81.7
95,2021-12-20,England,3rd,51.9
96,2021-12-19,England,2nd,81.6
97,2021-12-19,England,3rd,50.4
98,2021-12-18,England,2nd,81.5
99,2021-12-18,England,3rd,48.9
100,2021-12-17,England,2nd,81.4
101,2021-12-17,England,3rd,47.2
102,2021-12-16,England,2nd,81.4
103,2021-12-16,England,3rd,45.6
104,2021-12-15,England,2nd,81.3
105,2021-12-15,England,3rd,44.1
106,2021-12-14,England,2nd,81.2
107,2021-12-14,England,3rd,42.8
108,2021-12-13,England,2nd,81.2
109,2021-12-13,England,3rd,41.7
110,2021-12-12,England,2nd,81.1
111,2021-12-12,England,3rd,40.8
112,2021-12-11,England,2nd,81.0
113,2021-12-11,England,3rd,40.1
114,2021-12-10,England,2nd,81.0
115,2021-12-10,England,3rd,39.1
116,2021-12-09,England,2nd,80.9
117,2021-12-09,England,3rd,38.4
118,2021-12-08,England,2nd,80.9
119,2021-12-08,England,3rd,37.6
120,2021-12-07,England,2nd,80.8
121,2021-12-07,England,3rd,36.9
122,2021-12-06,England,2nd,80.8
123,2021-12-06,England,3rd,36.2
124,2021-12-05,England,2nd,80.7
125,2021-12-05,England,3rd,35.6
126,2021-12-04,England,2nd,80.7
127,2021-12-04,England,3rd,35.2
128,2021-12-03,England,2nd,80.6
129,2021-12-03,England,3rd,34.3
130,2021-12-02,England,2nd,80.5
131,2021-12-02,England,3rd,33.6
132,2021-12-01,England,2nd,80.5
133,2021-12-01,England,3rd,32.9
134,2021-11-30,England,2nd,80.4
135,2021-11-30,England,3rd,32.2
136,2021-11-29,England,2nd,80.4
137,2021-11-29,England,3rd,31.5
138,2021-11-28,England,2nd,80.3
139,2021-11-28,England,3rd,31.0
140,2021-11-27,England,2nd,80.3
141,2021-11-27,England,3rd,30.5
142,2021-11-26,England,2nd,80.2
143,2021-11-26,England,3rd,29.7
144,2021-11-25,England,2nd,80.2
145,2021-11-25,England,3rd,29.0
146,2021-11-24,England,2nd,80.1
147,2021-11-24,England,3rd,28.3
148,2021-11-23,England,2nd,80.1
149,2021-11-23,England,3rd,27.7
150,2021-11-22,England,2nd,80.1
151,2021-11-22,England,3rd,27.0
152,2021-11-21,England,2nd,80.0
153,2021-11-21,England,3rd,26.5
154,2021-11-20,England,2nd,80.0
155,2021-11-20,England,3rd,26.1
156,2021-11-19,England,2nd,80.0
157,2021-11-19,England,3rd,25.3
158,2021-11-18,England,2nd,79.9
159,2021-11-18,England,3rd,24.6
160,2021-11-17,England,2nd,79.9
161,2021-11-17,England,3rd,24.0
162,2021-11-16,England,2nd,79.8
163,2021-11-16,England,3rd,23.3
164,2021-11-15,England,2nd,79.8
165,2021-11-15,England,3rd,22.8
166,2021-11-14,England,2nd,79.8
167,2021-11-14,England,3rd,22.3
168,2021-11-13,England,2nd,79.7
169,2021-11-13,England,3rd,21.9
170,2021-11-12,England,2nd,79.7
171,2021-11-12,England,3rd,21.1
172,2021-11-11,England,2nd,79.7
173,2021-11-11,England,3rd,20.4
174,2021-11-10,England,2nd,79.6
175,2021-11-10,England,3rd,19.8
176,2021-11-09,England,2nd,79.5
177,2021-11-09,England,3rd,18.8
178,2021-11-08,England,2nd,79.5
179,2021-11-08,England,3rd,18.3
180,2021-11-07,England,2nd,79.5
181,2021-11-07,England,3rd,17.8
182,2021-11-06,England,2nd,79.4
183,2021-11-06,England,3rd,17.5
184,2021-11-05,England,2nd,79.4
185,2021-11-05,England,3rd,16.7
186,2021-11-04,England,2nd,79.3
187,2021-11-04,England,3rd,16.1
188,2021-11-03,England,2nd,79.3
189,2021-11-03,England,3rd,15.6
190,2021-11-02,England,2nd,79.3
191,2021-11-02,England,3rd,15.0
192,2021-11-01,England,2nd,79.2
193,2021-11-01,England,3rd,14.5
194,2021-10-31,England,2nd,79.2
195,2021-10-31,England,3rd,14.1
196,2021-10-30,England,2nd,79.2
197,2021-10-30,England,3rd,13.8
198,2021-10-29,England,2nd,79.1
199,2021-10-29,England,3rd,13.2
200,2021-10-28,England,2nd,79.1
201,2021-10-28,England,3rd,12.7
202,2021-10-27,England,2nd,79.1
203,2021-10-27,England,3rd,12.2
204,2021-10-26,England,2nd,79.0
205,2021-10-26,England,3rd,11.7
206,2021-10-25,England,2nd,79.0
207,2021-10-25,England,3rd,11.2
208,2021-10-24,England,2nd,78.9
209,2021-10-24,England,3rd,10.8
210,2021-10-23,England,2nd,78.9
211,2021-10-23,England,3rd,10.5
212,2021-10-22,England,2nd,78.9
213,2021-10-22,England,3rd,9.9
214,2021-10-21,England,2nd,78.8
215,2021-10-21,England,3rd,9.4
216,2021-10-20,England,2nd,78.8
217,2021-10-20,England,3rd,8.8
218,2021-10-19,England,2nd,78.7
219,2021-10-19,England,3rd,8.4
220,2021-10-18,England,2nd,78.7
221,2021-10-18,England,3rd,8.0
222,2021-10-17,England,2nd,78.6
223,2021-10-17,England,3rd,7.6
224,2021-10-16,England,2nd,78.6
225,2021-10-16,England,3rd,7.4
226,2021-10-15,England,2nd,78.5
227,2021-10-15,England,3rd,6.8
228,2021-10-14,England,2nd,78.5
229,2021-10-14,England,3rd,6.4
230,2021-10-13,England,2nd,78.4
231,2021-10-13,England,3rd,6.0
232,2021-10-12,England,2nd,78.4
233,2021-10-12,England,3rd,5.6
234,2021-10-11,England,2nd,78.3
235,2021-10-11,England,3rd,5.3
236,2021-10-10,England,2nd,78.3
237,2021-10-10,England,3rd,5.0
238,2021-10-09,England,2nd,78.3
239,2021-10-09,England,3rd,4.8
240,2021-10-08,England,2nd,78.2
241,2021-10-08,England,3rd,4.3
242,2021-10-07,England,2nd,78.1
243,2021-10-07,England,3rd,4.0
244,2021-10-06,England,2nd,78.1
245,2021-10-06,England,3rd,3.6
246,2021-10-05,England,2nd,78.0
247,2021-10-05,England,3rd,3.3
248,2021-10-04,England,2nd,78.0
249,2021-10-04,England,3rd,2.9
250,2021-10-03,England,2nd,77.9
251,2021-10-03,England,3rd,2.7
252,2021-10-02,England,2nd,77.9
253,2021-10-02,England,3rd,2.5
254,2021-10-01,England,2nd,77.8
255,2021-10-01,England,3rd,2.1
256,2021-09-30,England,2nd,77.8
257,2021-09-30,England,3rd,1.8
258,2021-09-29,England,2nd,77.7
259,2021-09-28,England,2nd,77.7
260,2021-09-27,England,2nd,77.6
261,2021-09-26,England,2nd,77.5
262,2021-09-25,England,2nd,77.5
263,2021-09-24,England,2nd,77.4
264,2021-09-23,England,2nd,77.3
265,2021-09-22,England,2nd,77.2
266,2021-09-21,England,2nd,77.2
267,2021-09-20,England,2nd,77.1
268,2021-09-19,England,2nd,77.0
269,2021-09-18,England,2nd,76.9
270,2021-09-17,England,2nd,76.8
271,2021-09-16,England,2nd,76.7
272,2021-09-15,England,2nd,76.6
273,2021-09-14,England,2nd,76.4
274,2021-09-13,England,2nd,76.3
275,2021-09-12,England,2nd,76.2
276,2021-09-11,England,2nd,76.1
277,2021-09-10,England,2nd,75.9
278,2021-09-09,England,2nd,75.8
279,2021-09-08,England,2nd,75.6
280,2021-09-07,England,2nd,75.4
281,2021-09-06,England,2nd,75.3
282,2021-09-05,England,2nd,75.1
283,2021-09-04,England,2nd,75.0
284,2021-09-03,England,2nd,74.8
285,2021-09-02,England,2nd,74.6
286,2021-09-01,England,2nd,74.4
287,2021-08-31,England,2nd,74.2
288,2021-08-30,England,2nd,73.9
289,2021-08-29,England,2nd,73.8
290,2021-08-28,England,2nd,73.7
291,2021-08-27,England,2nd,73.5
292,2021-08-26,England,2nd,73.2
293,2021-08-25,England,2nd,73.0
294,2021-08-24,England,2nd,72.7
295,2021-08-23,England,2nd,72.4
296,2021-08-22,England,2nd,72.2
297,2021-08-21,England,2nd,72.0
298,2021-08-20,England,2nd,71.6
299,2021-08-19,England,2nd,71.3
300,2021-08-18,England,2nd,71.0
301,2021-08-17,England,2nd,70.7
302,2021-08-16,England,2nd,70.5
303,2021-08-15,England,2nd,70.2
304,2021-08-14,England,2nd,70.0
305,2021-08-13,England,2nd,69.7
306,2021-08-12,England,2nd,69.4
307,2021-08-11,England,2nd,69.0
308,2021-08-10,England,2nd,68.7
309,2021-08-09,England,2nd,68.5
310,2021-08-08,England,2nd,68.2
311,2021-08-07,England,2nd,68.0
312,2021-08-06,England,2nd,67.6
313,2021-08-05,England,2nd,67.4
314,2021-08-04,England,2nd,67.1
315,2021-08-03,England,2nd,66.8
316,2021-08-02,England,2nd,66.6
317,2021-08-01,England,2nd,66.4
318,2021-07-31,England,2nd,66.2
319,2021-07-30,England,2nd,65.8
320,2021-07-29,England,2nd,65.5
321,2021-07-28,England,2nd,65.2
322,2021-07-27,England,2nd,64.9
323,2021-07-26,England,2nd,64.7
324,2021-07-25,England,2nd,64.5
325,2021-07-24,England,2nd,64.3
326,2021-07-23,England,2nd,63.9
327,2021-07-22,England,2nd,63.6
328,2021-07-21,England,2nd,63.3
329,2021-07-20,England,2nd,62.9
330,2021-07-19,England,2nd,62.7
331,2021-07-18,England,2nd,62.5
332,2021-07-17,England,2nd,62.2
333,2021-07-16,England,2nd,61.8
334,2021-07-15,England,2nd,61.5
335,2021-07-14,England,2nd,61.1
336,2021-07-13,England,2nd,60.8
337,2021-07-12,England,2nd,60.6
338,2021-07-11,England,2nd,60.4
339,2021-07-10,England,2nd,60.2
340,2021-07-09,England,2nd,59.8
341,2021-07-08,England,2nd,59.5
342,2021-07-07,England,2nd,59.3
