United Kingdom,,,,,,
Category,dot_nsig,Mean performance,line,Best-fitting trend,x_reading,OECD Average (23 countries)
2000,,,,,reading,499.53403
2000.25,,,,,reading,499.35751
2000.5,,,,,reading,499.181
2000.75,,,,,reading,499.00446
2001,,,,,reading,498.82794
2001.25,,,,,reading,498.65143
2001.5,,,,,reading,498.47491
2001.75,,,,,reading,498.2984
2002,,,,,reading,498.12189
2002.25,,,,,reading,497.94537
2002.5,,,,,reading,497.76883
2002.75,,,,,reading,497.59232
2003,,,,,reading,497.4158
2003.25,,,,,reading,497.25333
2003.5,,,,,reading,497.09082
2003.75,,,,,reading,496.92834
2004,,,,,reading,496.76584
2004.25,,,,,reading,496.60336
2004.5,,,,,reading,496.44086
2004.75,,,,,reading,496.27838
2005,,,,,reading,496.11591
2005.25,,,,,reading,495.9534
2005.5,,,,,reading,495.79092
2005.75,,,,,reading,495.62842
2006,495.0835,,495.0835,495.99335,reading,495.46594
2006.25,,,495.00836,496.0419,reading,495.79358
2006.5,,,494.93326,496.09045,reading,496.12122
2006.75,,,494.85812,496.13901,reading,496.44885
2007,,,494.78299,496.18753,reading,496.77646
2007.25,,,494.70789,496.23608,reading,497.1041
2007.5,,,494.63275,496.28464,reading,497.43173
2007.75,,,494.55762,496.33319,reading,497.75937
2008,,,494.48251,496.38174,reading,498.08701
2008.25,,,494.40738,496.4303,reading,498.41461
2008.5,,,494.33224,496.47885,reading,498.74225
2008.75,,,494.25714,496.5274,reading,499.06989
2009,494.18201,,494.18201,496.57596,reading,499.39752
2009.25,,,494.61044,496.62451,reading,499.56146
2009.5,,,495.03885,496.67303,reading,499.7254
2009.75,,,495.46729,496.72159,reading,499.88931
2010,,,495.89572,496.77014,reading,500.05325
2010.25,,,496.32413,496.8187,reading,500.21719
2010.5,,,496.75256,496.86725,reading,500.3811
2010.75,,,497.181,496.9158,reading,500.54504
2011,,,497.60941,496.96436,reading,500.70898
2011.25,,,498.03784,497.01291,reading,500.87292
2011.5,,,498.46628,497.06146,reading,501.03687
2011.75,,,498.89468,497.10999,reading,501.20078
2012,499.32312,,499.32312,497.15854,reading,501.36472
2012.25,,,499.21051,497.20709,reading,501.02173
2012.5,,,499.09793,497.25565,reading,500.67874
2012.75,,,498.98532,497.3042,reading,500.33575
2013,,,498.87271,497.35275,reading,499.99277
2013.25,,,498.76013,497.40131,reading,499.64978
2013.5,,,498.64752,497.44986,reading,499.30682
2013.75,,,498.53491,497.49841,reading,498.96384
2014,,,498.42233,497.54694,reading,498.62085
2014.25,,,498.30972,497.59549,reading,498.27786
2014.5,,,498.19711,497.64404,reading,497.93488
2014.75,,,498.08453,497.6926,reading,497.59189
2015,497.97192,,497.97192,497.74115,reading,497.2489
2015.25,,,498.46826,497.7897,reading,496.88129
2015.5,,,498.96463,497.83826,reading,496.51364
2015.75,,,499.46097,497.88681,reading,496.146
2016,,,499.95731,497.93536,reading,495.77838
2016.25,,,500.45367,497.98392,reading,495.41077
2016.5,,,500.95001,498.03244,reading,495.04312
2016.75,,,501.44635,498.08099,reading,494.67548
2017,,,501.94272,498.12955,reading,494.30786
2017.25,,,502.43906,498.1781,reading,493.94025
2017.5,,,502.93539,498.22665,reading,493.5726
2017.75,,,503.43176,498.27521,reading,493.20496
2018,,503.9281,503.9281,498.32376,reading,492.83734
2018.25,,,503.33289,498.37231,reading,492.1557
2018.5,,,502.73767,498.42087,reading,491.47403
2018.75,,,502.14246,498.46939,reading,490.79239
2019,,,501.54724,498.51794,reading,490.11072
2019.25,,,500.95203,498.5665,reading,489.42908
2019.5,,,500.35681,498.61505,reading,488.74741
2019.75,,,499.7616,498.6636,reading,488.06577
2020,,,499.16638,498.71216,reading,487.38409
2020.25,,,498.57114,498.76071,reading,486.70245
2020.5,,,497.97592,498.80927,reading,486.02081
2020.75,,,497.38071,498.85782,reading,485.33914
2021,,,496.78549,498.90634,reading,484.6575
2021.25,,,496.19028,498.9549,reading,483.97583
2021.5,,,495.59506,499.00345,reading,483.29419
2021.75,,,494.99985,499.052,reading,482.61252
2022,494.40463,,494.40463,499.10056,reading,481.93088
2003,,,,,maths,502.125
2003.25,,,,,maths,502.03668
2003.5,,,,,maths,501.94836
2003.75,,,,,maths,501.86005
2004,,,,,maths,501.77176
2004.25,,,,,maths,501.68344
2004.5,,,,,maths,501.59512
2004.75,,,,,maths,501.50681
2005,,,,,maths,501.41849
2005.25,,,,,maths,501.3302
2005.5,,,,,maths,501.24188
2005.75,,,,,maths,501.15356
2006,495.44415,,495.44415,494.77948,maths,501.06525
2006.25,,,495.19165,494.75958,maths,501.11554
2006.5,,,494.93915,494.73969,maths,501.16586
2006.75,,,494.68665,494.71979,maths,501.21619
2007,,,494.43414,494.69989,maths,501.26648
2007.25,,,494.18164,494.67999,maths,501.31677
2007.5,,,493.92914,494.6601,maths,501.3671
2007.75,,,493.67661,494.6402,maths,501.41742
2008,,,493.4241,494.6203,maths,501.46771
2008.25,,,493.1716,494.6004,maths,501.51801
2008.5,,,492.9191,494.58051,maths,501.56833
2008.75,,,492.6666,494.56061,maths,501.61865
2009,492.41409,,492.41409,494.54071,maths,501.66895
2009.25,,,492.54077,494.52084,maths,501.41946
2009.5,,,492.66745,494.50095,maths,501.17001
2009.75,,,492.79413,494.48105,maths,500.92053
2010,,,492.92081,494.46115,maths,500.67108
2010.25,,,493.04749,494.44125,maths,500.4216
2010.5,,,493.17416,494.42136,maths,500.17212
2010.75,,,493.30084,494.40146,maths,499.92267
2011,,,493.42752,494.38156,maths,499.67319
2011.25,,,493.5542,494.36166,maths,499.42374
2011.5,,,493.68088,494.34177,maths,499.17426
2011.75,,,493.80756,494.32187,maths,498.9248
2012,493.93423,,493.93423,494.30197,maths,498.67532
2012.25,,,493.81293,494.28207,maths,498.41232
2012.5,,,493.69162,494.26218,maths,498.14935
2012.75,,,493.57031,494.24228,maths,497.88635
2013,,,493.44901,494.22238,maths,497.62335
2013.25,,,493.3277,494.20248,maths,497.36038
2013.5,,,493.20636,494.18259,maths,497.09738
2013.75,,,493.08505,494.16269,maths,496.83438
2014,,,492.96375,494.14279,maths,496.57141
2014.25,,,492.84244,494.12289,maths,496.30841
2014.5,,,492.72113,494.103,maths,496.04541
2014.75,,,492.59982,494.0831,maths,495.78244
2015,492.47852,,492.47852,494.06323,maths,495.51944
2015.25,,,493.25281,494.04333,maths,495.58868
2015.5,,,494.02707,494.02344,maths,495.6579
2015.75,,,494.80136,494.00354,maths,495.72711
2016,,,495.57565,493.98364,maths,495.79636
2016.25,,,496.34991,493.96375,maths,495.8656
2016.5,,,497.12421,493.94385,maths,495.93481
2016.75,,,497.8985,493.92395,maths,496.00403
2017,,,498.67276,493.90405,maths,496.07327
2017.25,,,499.44705,493.88416,maths,496.14252
2017.5,,,500.22134,493.86426,maths,496.21173
2017.75,,,500.99561,493.84436,maths,496.28094
2018,,501.7699,501.7699,493.82446,maths,496.35019
2018.25,,,500.97021,493.80457,maths,495.34637
2018.5,,,500.17053,493.78467,maths,494.34256
2018.75,,,499.37088,493.76477,maths,493.33875
2019,,,498.5712,493.74487,maths,492.33493
2019.25,,,497.77151,493.72498,maths,491.33112
2019.5,,,496.97186,493.70508,maths,490.3273
2019.75,,,496.17218,493.68518,maths,489.32349
2020,,,495.3725,493.66528,maths,488.3197
2020.25,,,494.57281,493.64539,maths,487.31589
2020.5,,,493.77313,493.62549,maths,486.31207
2020.75,,,492.97348,493.60562,maths,485.30826
2021,,,492.1738,493.58572,maths,484.30444
2021.25,,,491.37411,493.56583,maths,483.30063
2021.5,,,490.57446,493.54593,maths,482.29681
2021.75,,,489.77478,493.52603,maths,481.293
2022,488.9751,,488.9751,493.50613,maths,480.28918
2006,,514.77356,514.77356,516.92645,science,502.74365
2006.25,,,514.68494,516.67975,science,502.99344
2006.5,,,514.59631,516.43311,science,503.24326
2006.75,,,514.50775,516.18646,science,503.49304
2007,,,514.41913,515.93976,science,503.74286
2007.25,,,514.33051,515.69312,science,503.99265
2007.5,,,514.24194,515.44647,science,504.24243
2007.75,,,514.15332,515.19977,science,504.49225
2008,,,514.0647,514.95313,science,504.74203
2008.25,,,513.97607,514.70648,science,504.99185
2008.5,,,513.88745,514.45978,science,505.24164
2008.75,,,513.79889,514.21313,science,505.49146
2009,,513.71027,513.71027,513.96649,science,505.74124
2009.25,,,513.74518,513.71979,science,505.65704
2009.5,,,513.78009,513.47314,science,505.57288
2009.75,,,513.81506,513.22644,science,505.48868
2010,,,513.84998,512.9798,science,505.40448
2010.25,,,513.88489,512.73315,science,505.32031
2010.5,,,513.9198,512.48645,science,505.23611
2010.75,,,513.95471,512.23981,science,505.15192
2011,,,513.98962,511.99313,science,505.06775
2011.25,,,514.02454,511.74649,science,504.98355
2011.5,,,514.05951,511.49982,science,504.89935
2011.75,,,514.09442,511.25314,science,504.81519
2012,,514.12933,514.12933,511.00647,science,504.73099
2012.25,,,513.72034,510.75983,science,504.08514
2012.5,,,513.31134,510.51315,science,503.4393
2012.75,,,512.90234,510.26648,science,502.79346
2013,,,512.49341,510.01984,science,502.14761
2013.25,,,512.08441,509.77316,science,501.50177
2013.5,,,511.67542,509.52649,science,500.85596
2013.75,,,511.26642,509.27982,science,500.21011
2014,,,510.85745,509.03317,science,499.56427
2014.25,,,510.44846,508.7865,science,498.91843
2014.5,,,510.03946,508.53983,science,498.27258
2014.75,,,509.63049,508.29318,science,497.62674
2015,,509.2215,509.2215,508.04651,science,496.9809
2015.25,,,508.84198,507.79984,science,496.68771
2015.5,,,508.46249,507.55316,science,496.39453
2015.75,,,508.08301,507.30652,science,496.10138
2016,,,507.70349,507.05984,science,495.8082
2016.25,,,507.32397,506.81317,science,495.51501
2016.5,,,506.94449,506.56653,science,495.22183
2016.75,,,506.565,506.31985,science,494.92865
2017,,,506.18549,506.07318,science,494.63547
2017.25,,,505.80597,505.82651,science,494.34229
2017.5,,,505.42648,505.57986,science,494.04913
2017.75,,,505.047,505.33319,science,493.75595
2018,504.66748,,504.66748,505.08652,science,493.46277
2018.25,,,504.35516,504.83987,science,493.30023
2018.5,,,504.04282,504.5932,science,493.1377
2018.75,,,503.7305,504.34653,science,492.97516
2019,,,503.41815,504.09985,science,492.81262
2019.25,,,503.10583,503.85321,science,492.65005
2019.5,,,502.79352,503.60654,science,492.48752
2019.75,,,502.48117,503.35986,science,492.32498
2020,,,502.16885,503.11322,science,492.16245
2020.25,,,501.85654,502.86655,science,491.99991
2020.5,,,501.54419,502.61987,science,491.83737
2020.75,,,501.23187,502.3732,science,491.67484
2021,,,500.91956,502.12656,science,491.51227
2021.25,,,500.60721,501.87988,science,491.34973
2021.5,,,500.29489,501.63321,science,491.18719
2021.75,,,499.98254,501.38654,science,491.02466
2022,499.67023,,499.67023,501.13989,science,490.86212
