,country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,date
22445,United Kingdom,GBR,Europe,68059863,cases,30357,2020-14,70.887596,57180,"Epidemic intelligence, national weekly data",2020-04-04
8515,Germany,DEU,Europe,83166711,cases,38093,2020-14,84.910172,95391,"Epidemic intelligence, national weekly data",2020-04-04
8516,Germany,DEU,Europe,83166711,cases,27625,2020-15,79.0196,123016,"Epidemic intelligence, national weekly data",2020-04-11
22446,United Kingdom,GBR,Europe,68059863,cases,32205,2020-15,91.92202,89385,"Epidemic intelligence, national weekly data",2020-04-11
8014,France,FRA,Europe,67320216,cases,24925,2020-15,82.039253,95403,"Epidemic intelligence, national weekly data",2020-04-11
10304,India,IND,Asia,1380004385,cases,5085,2020-15,0.58557785,9152,"Epidemic intelligence, national weekly data",2020-04-11
540,America (total),,America,1021703563,cases,261256,2020-15,47.412384,650066,"Epidemic intelligence, national weekly data",2020-04-11
10305,India,IND,Asia,1380004385,cases,8113,2020-16,0.95637375,17265,"Epidemic intelligence, national weekly data",2020-04-18
8517,Germany,DEU,Europe,83166711,cases,18656,2020-16,55.648468,141672,"Epidemic intelligence, national weekly data",2020-04-18
8015,France,FRA,Europe,67320216,cases,17203,2020-16,62.578529,112606,"Epidemic intelligence, national weekly data",2020-04-18
22447,United Kingdom,GBR,Europe,68059863,cases,32027,2020-16,94.37574,121412,"Epidemic intelligence, national weekly data",2020-04-18
541,America (total),,America,1021703563,cases,254387,2020-16,50.468945,904453,"Epidemic intelligence, national weekly data",2020-04-18
10306,India,IND,Asia,1380004385,cases,10627,2020-17,1.3579667,27892,"Epidemic intelligence, national weekly data",2020-04-25
542,America (total),,America,1021703563,cases,286123,2020-17,52.902821,1190576,"Epidemic intelligence, national weekly data",2020-04-25
8016,France,FRA,Europe,67320216,cases,11969,2020-17,43.333195,124575,"Epidemic intelligence, national weekly data",2020-04-25
8518,Germany,DEU,Europe,83166711,cases,13521,2020-17,38.689758,155193,"Epidemic intelligence, national weekly data",2020-04-25
22448,United Kingdom,GBR,Europe,68059863,cases,32830,2020-17,95.294052,154242,"Epidemic intelligence, national weekly data",2020-04-25
543,America (total),,America,1021703563,cases,295854,2020-18,56.961433,1486430,"Epidemic intelligence, national weekly data",2020-05-02
8017,France,FRA,Europe,67320216,cases,6712,2020-18,27.749466,131287,"Epidemic intelligence, national weekly data",2020-05-02
10307,India,IND,Asia,1380004385,cases,14641,2020-18,1.8310087,42533,"Epidemic intelligence, national weekly data",2020-05-02
22449,United Kingdom,GBR,Europe,68059863,cases,31282,2020-18,94.199425,185524,"Epidemic intelligence, national weekly data",2020-05-02
8519,Germany,DEU,Europe,83166711,cases,7982,2020-18,25.855297,163175,"Epidemic intelligence, national weekly data",2020-05-02
8018,France,FRA,Europe,67320216,cases,7776,2020-19,21.521025,139063,"Epidemic intelligence, national weekly data",2020-05-09
10308,India,IND,Asia,1380004385,cases,24619,2020-19,2.8449185,67152,"Epidemic intelligence, national weekly data",2020-05-09
544,America (total),,America,1021703563,cases,299665,2020-19,58.286869,1786095,"Epidemic intelligence, national weekly data",2020-05-09
22450,United Kingdom,GBR,Europe,68059863,cases,22867,2020-19,79.560844,208391,"Epidemic intelligence, national weekly data",2020-05-09
8520,Germany,DEU,Europe,83166711,cases,6400,2020-19,17.292976,169575,"Epidemic intelligence, national weekly data",2020-05-09
10309,India,IND,Asia,1380004385,cases,29017,2020-20,3.8866544,96169,"Epidemic intelligence, national weekly data",2020-05-16
545,America (total),,America,1021703563,cases,320492,2020-20,60.69833,2106587,"Epidemic intelligence, national weekly data",2020-05-16
22451,United Kingdom,GBR,Europe,68059863,cases,19857,2020-20,62.774151,228248,"Epidemic intelligence, national weekly data",2020-05-16
8521,Germany,DEU,Europe,83166711,cases,5122,2020-20,13.854101,174697,"Epidemic intelligence, national weekly data",2020-05-16
8019,France,FRA,Europe,67320216,cases,3348,2020-20,16.524012,142411,"Epidemic intelligence, national weekly data",2020-05-16
8522,Germany,DEU,Europe,83166711,cases,3873,2020-21,10.815625,178570,"Epidemic intelligence, national weekly data",2020-05-23
8020,France,FRA,Europe,67320216,cases,2510,2020-21,8.7016954,144921,"Epidemic intelligence, national weekly data",2020-05-23
22452,United Kingdom,GBR,Europe,68059863,cases,16360,2020-21,53.213448,244608,"Epidemic intelligence, national weekly data",2020-05-23
546,America (total),,America,1021703563,cases,387488,2020-21,69.294075,2494075,"Epidemic intelligence, national weekly data",2020-05-23
10310,India,IND,Asia,1380004385,cases,42676,2020-21,5.1951284,138845,"Epidemic intelligence, national weekly data",2020-05-23
10311,India,IND,Asia,1380004385,cases,51690,2020-22,6.8380942,190535,"Epidemic intelligence, national weekly data",2020-05-30
8021,France,FRA,Europe,67320216,cases,6832,2020-22,13.876961,151753,"Epidemic intelligence, national weekly data",2020-05-30
547,America (total),,America,1021703563,cases,437717,2020-22,80.767555,2931792,"Epidemic intelligence, national weekly data",2020-05-30
22453,United Kingdom,GBR,Europe,68059863,cases,10907,2020-22,40.063259,255515,"Epidemic intelligence, national weekly data",2020-05-30
8523,Germany,DEU,Europe,83166711,cases,3245,2020-22,8.558713,181815,"Epidemic intelligence, national weekly data",2020-05-30
8524,Germany,DEU,Europe,83166711,cases,2378,2020-23,6.7611184,184193,"Epidemic intelligence, national weekly data",2020-06-06
10312,India,IND,Asia,1380004385,cases,66076,2020-23,8.533741,256611,"Epidemic intelligence, national weekly data",2020-06-06
22454,United Kingdom,GBR,Europe,68059863,cases,8524,2020-23,28.549866,264039,"Epidemic intelligence, national weekly data",2020-06-06
548,America (total),,America,1021703563,cases,467311,2020-23,88.580292,3399103,"Epidemic intelligence, national weekly data",2020-06-06
8022,France,FRA,Europe,67320216,cases,2224,2020-23,13.452126,153977,"Epidemic intelligence, national weekly data",2020-06-06
22455,United Kingdom,GBR,Europe,68059863,cases,7136,2020-24,23.009155,271175,"Epidemic intelligence, national weekly data",2020-06-13
549,America (total),,America,1021703563,cases,484236,2020-24,93.133377,3883339,"Epidemic intelligence, national weekly data",2020-06-13
8023,France,FRA,Europe,67320216,cases,3243,2020-24,8.1208887,157220,"Epidemic intelligence, national weekly data",2020-06-13
8525,Germany,DEU,Europe,83166711,cases,2268,2020-24,5.58637,186461,"Epidemic intelligence, national weekly data",2020-06-13
10313,India,IND,Asia,1380004385,cases,75813,2020-24,10.281779,332424,"Epidemic intelligence, national weekly data",2020-06-13
8526,Germany,DEU,Europe,83166711,cases,3898,2020-25,7.4140239,190359,"Epidemic intelligence, national weekly data",2020-06-20
550,America (total),,America,1021703563,cases,596827,2020-25,105.80985,4480166,"Epidemic intelligence, national weekly data",2020-06-20
22456,United Kingdom,GBR,Europe,68059863,cases,6680,2020-25,20.299776,277855,"Epidemic intelligence, national weekly data",2020-06-20
8024,France,FRA,Europe,67320216,cases,3157,2020-25,9.5068026,160377,"Epidemic intelligence, national weekly data",2020-06-20
10314,India,IND,Asia,1380004385,cases,92858,2020-25,12.222497,425282,"Epidemic intelligence, national weekly data",2020-06-20
22457,United Kingdom,GBR,Europe,68059863,cases,5240,2020-26,17.513994,283095,"Epidemic intelligence, national weekly data",2020-06-27
8527,Germany,DEU,Europe,83166711,cases,3402,2020-26,8.7775507,193761,"Epidemic intelligence, national weekly data",2020-06-27
8025,France,FRA,Europe,67320216,cases,2559,2020-26,8.4907627,162936,"Epidemic intelligence, national weekly data",2020-06-27
10315,India,IND,Asia,1380004385,cases,123036,2020-26,15.644444,548318,"Epidemic intelligence, national weekly data",2020-06-27
551,America (total),,America,1021703563,cases,697610,2020-26,126.69399,5177776,"Epidemic intelligence, national weekly data",2020-06-27
8528,Germany,DEU,Europe,83166711,cases,2793,2020-27,7.448894,196554,"Epidemic intelligence, national weekly data",2020-07-04
8026,France,FRA,Europe,67320216,cases,4024,2020-27,9.7786379,166960,"Epidemic intelligence, national weekly data",2020-07-04
552,America (total),,America,1021703563,cases,780343,2020-27,144.65576,5958119,"Epidemic intelligence, national weekly data",2020-07-04
10316,India,IND,Asia,1380004385,cases,149095,2020-27,19.719576,697413,"Epidemic intelligence, national weekly data",2020-07-04
22458,United Kingdom,GBR,Europe,68059863,cases,4026,2020-27,13.614485,287121,"Epidemic intelligence, national weekly data",2020-07-04
8027,France,FRA,Europe,67320216,cases,3792,2020-28,11.610183,170752,"Epidemic intelligence, national weekly data",2020-07-11
10317,India,IND,Asia,1380004385,cases,180841,2020-28,23.908329,878254,"Epidemic intelligence, national weekly data",2020-07-11
22459,United Kingdom,GBR,Europe,68059863,cases,4271,2020-28,12.190739,291392,"Epidemic intelligence, national weekly data",2020-07-11
553,America (total),,America,1021703563,cases,872826,2020-28,161.80515,6830945,"Epidemic intelligence, national weekly data",2020-07-11
