,country,country_code,continent,population,indicator,weekly_count,year_week,rate_14_day,cumulative_count,source,date
22478,United Kingdom,GBR,Europe,68059863,cases,142727,2020-47,470.22134,1512045,"Epidemic intelligence, national weekly data",2020-11-21
8046,France,FRA,Europe,67320216,cases,158381,2020-47,524.18726,2140208,"Epidemic intelligence, national weekly data",2020-11-21
10336,India,IND,Asia,1380004385,cases,294738,2020-47,42.478706,9139865,"Epidemic intelligence, national weekly data",2020-11-21
22479,United Kingdom,GBR,Europe,68059863,cases,105282,2020-48,364.39832,1617327,"Epidemic intelligence, national weekly data",2020-11-28
10337,India,IND,Asia,1380004385,cases,291826,2020-48,42.504501,9431691,"Epidemic intelligence, national weekly data",2020-11-28
8549,Germany,DEU,Europe,83166711,cases,124736,2020-48,303.65756,1053869,"Epidemic intelligence, national weekly data",2020-11-28
573,America (total),,America,1021703563,cases,1670555,2020-48,326.81631,26822949,"Epidemic intelligence, national weekly data",2020-11-28
8047,France,FRA,Europe,67320216,cases,78275,2020-48,351.53778,2218483,"Epidemic intelligence, national weekly data",2020-11-28
8550,Germany,DEU,Europe,83166711,cases,129785,2020-49,306.03711,1183654,"Epidemic intelligence, national weekly data",2020-12-05
8048,France,FRA,Europe,67320216,cases,74014,2020-49,226.21585,2292497,"Epidemic intelligence, national weekly data",2020-12-05
574,America (total),,America,1021703563,cases,1966880,2020-49,356.01666,28789829,"Epidemic intelligence, national weekly data",2020-12-05
10338,India,IND,Asia,1380004385,cases,245512,2020-49,38.937412,9677203,"Epidemic intelligence, national weekly data",2020-12-05
22480,United Kingdom,GBR,Europe,68059863,cases,105915,2020-49,310.31064,1723242,"Epidemic intelligence, national weekly data",2020-12-05
575,America (total),,America,1021703563,cases,2100034,2020-50,398.05225,30889863,"Epidemic intelligence, national weekly data",2020-12-12
22481,United Kingdom,GBR,Europe,68059863,cases,126161,2020-50,340.98804,1849403,"Epidemic intelligence, national weekly data",2020-12-12
10339,India,IND,Asia,1380004385,cases,206897,2020-50,32.783157,9884100,"Epidemic intelligence, national weekly data",2020-12-12
8049,France,FRA,Europe,67320216,cases,84355,2020-50,235.24731,2376852,"Epidemic intelligence, national weekly data",2020-12-12
8551,Germany,DEU,Europe,83166711,cases,153424,2020-50,340.53168,1337078,"Epidemic intelligence, national weekly data",2020-12-12
576,America (total),,America,1021703563,cases,2327003,2020-51,433.29956,33216866,"Epidemic intelligence, national weekly data",2020-12-19
8552,Germany,DEU,Europe,83166711,cases,173574,2020-51,393.18375,1510652,"Epidemic intelligence, national weekly data",2020-12-19
10340,India,IND,Asia,1380004385,cases,171460,2020-51,27.417088,10055560,"Epidemic intelligence, national weekly data",2020-12-19
22482,United Kingdom,GBR,Europe,68059863,cases,190744,2020-51,465.62686,2040147,"Epidemic intelligence, national weekly data",2020-12-19
8050,France,FRA,Europe,67320216,cases,96502,2020-51,268.65186,2473354,"Epidemic intelligence, national weekly data",2020-12-19
8553,Germany,DEU,Europe,83166711,cases,141182,2020-52,378.46393,1651834,"Epidemic intelligence, national weekly data",2020-12-26
10341,India,IND,Asia,1380004385,cases,152311,2020-52,23.461592,10207871,"Epidemic intelligence, national weekly data",2020-12-26
577,America (total),,America,1021703563,cases,1855223,2020-52,409.3385,35072089,"Epidemic intelligence, national weekly data",2020-12-26
8051,France,FRA,Europe,67320216,cases,89292,2020-52,275.98544,2562646,"Epidemic intelligence, national weekly data",2020-12-26
22483,United Kingdom,GBR,Europe,68059863,cases,289583,2020-52,705.74194,2329730,"Epidemic intelligence, national weekly data",2020-12-26
578,America (total),,America,1021703563,cases,2072707,2020-53,384.4491,37144796,"Epidemic intelligence, national weekly data",2021-01-02
8554,Germany,DEU,Europe,83166711,cases,123679,2020-53,318.46997,1775513,"Epidemic intelligence, national weekly data",2021-01-02
8052,France,FRA,Europe,67320216,cases,93082,2020-53,270.90524,2655728,"Epidemic intelligence, national weekly data",2021-01-02
10342,India,IND,Asia,1380004385,cases,132598,2020-53,20.645514,10340469,"Epidemic intelligence, national weekly data",2021-01-02
22484,United Kingdom,GBR,Europe,68059863,cases,325049,2020-53,903.07556,2654779,"Epidemic intelligence, national weekly data",2021-01-02
22485,United Kingdom,GBR,Europe,68059863,cases,417570,2021-01,1091.1262,3072349,"Epidemic intelligence, national weekly data",2021-01-09
579,America (total),,America,1021703563,cases,2699838,2021-01,467.11642,39844634,"Epidemic intelligence, national weekly data",2021-01-09
8555,Germany,DEU,Europe,83166711,cases,145511,2021-01,323.67517,1921024,"Epidemic intelligence, national weekly data",2021-01-09
