,year,growth
0,2013,0.0223
1,2014,0.0392
2,2015,0.008100000000000001
3,2016,0.015
4,2017,0.0286
5,2018,0.0263
6,2019,0.0296
7,2020,0.0311
8,2021,0.0588
9,2022,0.0369
