,country,growth
0,World,-0.034
1,G20,-0.032
2,Euro area,-0.068
3,      Germany ,-0.053
4,      France,-0.08199999999999999
5,      Italy,-0.08900000000000001
6,      Spain,-0.11
7,United Kingdom,-0.099
8,United States,-0.035
9,Canada,-0.054000000000000006
10,Australia,-0.025
11,Japan,-0.048
12,S Korea,-0.01
13,Taiwan,0.0311
