Default Dataset,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,
X,Y,X,Y,X,Y,X,Y,X,Y
1989.9596663348973,9811.285600212967,1989.0420873027158,6122.171945701377,1989.0420873027158,4178.799574128307,1988.9586710270628,2520.89433058292,2001.0540309967298,1719.3904711205796
1990.2516232996825,9646.593026350844,1989.3757524053271,6056.294916156527,1989.3757524053271,4178.799574128307,1989.2923361296744,2493.4455682725657,2001.3876960993412,1543.7183923343146
1990.501872126641,9492.87995741286,1989.7094175079387,5995.907639073748,1989.7094175079387,4140.371306893812,1989.626001232286,2487.9558158104956,2001.7213612019527,1368.0463135480477
1990.7521209535996,9339.166888474876,1990.0430826105503,5924.540857066828,1990.0430826105503,4134.88155443174,1989.9596663348973,2504.4250731967077,2002.0550263045643,1346.0873036997655
1991.0440779183848,9163.494809688611,1990.3767477131616,5831.215065211623,1990.3767477131616,4134.88155443174,1990.2933314375089,2548.343092893274,2002.3886914071757,1565.6774021825968
1991.3777430209961,8987.822730902346,1990.7104128157732,5737.889273356421,1990.7104128157732,4134.88155443174,1990.6269965401204,2592.26111258984,2002.7223565097872,1785.26750066543
1991.7114081236077,8812.150652116077,1991.0440779183848,5666.5224913494985,1991.0440779183848,4151.3508118179525,1990.9606616427318,2630.6893798243364,2003.0560216123988,1922.5113122172006
1992.0450732262193,8669.417088102236,1991.3777430209961,5628.094224115004,1991.3777430209961,4189.779079052449,1991.2943267453434,2663.6278945967606,2003.3896867150102,1960.9395794516968
1992.3787383288307,8526.683524088396,1991.7114081236077,5584.176204418436,1991.7114081236077,4228.207346286945,1991.627991847955,2707.545914293327,2003.7233518176217,1999.367846686193
1992.7124034314422,8383.949960074555,1992.0450732262193,5578.686451956366,1992.0450732262193,4266.635613521441,1991.9616569505663,2745.974181527823,2004.0570169202333,2021.3268565344752
1993.0460685340538,8252.195900984854,1992.3787383288307,5584.176204418436,1992.3787383288307,4250.166356135227,1992.2953220531779,2734.994676603681,2004.3906820228447,2048.7756188448293
1993.3797336366652,8120.441841895155,1992.7124034314422,5628.094224115004,1992.7124034314422,4222.717593824873,1992.6289871557894,2707.545914293327,2004.7243471254562,2059.7551237689713
1993.7133987392767,7988.687782805456,1993.0460685340538,5606.13521426672,1993.0460685340538,4217.227841362803,1992.9626522584008,2713.035666755399,2005.0580122280678,2092.6936385413956
1994.0470638418883,7856.933723715756,1993.3797336366652,5556.727442108082,1993.3797336366652,4173.3098216662365,1993.2963173610124,2751.463933989895,2005.3916773306792,2136.611658237962
1994.3807289444997,7736.1591695501975,1993.7133987392767,5507.319669949446,1993.7133987392767,4134.88155443174,1993.629982463624,2773.422943838177,2005.7253424332907,2175.039925472458
1994.7143940471112,7609.894862922569,1994.0470638418883,5424.973383018383,1994.0470638418883,4085.473782273104,1993.9636475662353,2795.381953686461,2006.0590075359023,2180.52967793453
1995.0480591497228,7516.569071067366,1994.3807289444997,5315.178333776967,1994.3807289444997,4030.5762576523957,1994.2973126688469,2795.381953686461,2006.3926726385137,2180.52967793453
1995.3817242523342,7456.181793984586,1994.7143940471112,5205.38328453555,1994.7143940471112,3981.1684854937575,1994.6309777714584,2795.381953686461,2006.7263377411252,2180.52967793453
1995.7153893549457,7401.284269363878,1995.0480591497228,5123.036997604488,1995.0480591497228,3959.2094756454753,1994.9646428740698,2767.933191376107,2007.0600028437368,2186.0194303966
1996.0490544575573,7362.8560021293815,1995.3817242523342,5079.118977907921,1995.3817242523342,3959.2094756454753,1995.2983079766814,2751.463933989895,2007.3936679463482,2224.447697631096
1996.3827195601687,7362.8560021293815,1995.7153893549457,5035.200958211355,1995.7153893549457,3981.1684854937575,1995.631973079293,2751.463933989895,2007.7273330489597,2262.8759648655905
1996.7163846627802,7362.8560021293815,1996.0490544575573,5007.752195901001,1996.0490544575573,4003.1274953420416,1995.9656381819043,2751.463933989895,2008.0609981515713,2268.3657173276624
1997.0500497653918,7362.8560021293815,1996.3827195601687,4969.323928666505,1996.3827195601687,4003.1274953420416,1996.2993032845159,2751.463933989895,2008.3946632541827,2268.3657173276624
1997.3837148680032,7362.8560021293815,1996.7163846627802,4963.834176204435,1996.7163846627802,4030.5762576523957,1996.6329683871274,2751.463933989895,2008.7283283567942,2268.3657173276624
1997.7173799706147,7384.815011977666,1997.0500497653918,4925.4059089699385,1997.0500497653918,4047.045515038608,1996.9666334897388,2767.933191376107,2009.0619934594056,2323.2632419483707
1998.0510450732263,7384.815011977666,1997.3837148680032,4925.4059089699385,1997.3837148680032,4074.494277348962,1997.3002985923504,2828.3204684588854,2009.3956585620172,2422.0787862656452
1998.3847101758377,7384.815011977666,1997.7173799706147,4925.4059089699385,1997.7173799706147,4090.963534735174,1997.633963694962,2899.687250465806,2009.7293236646287,2526.38408304499
1998.7183752784492,7384.815011977666,1998.0510450732263,4947.364918818223,1998.0510450732263,4140.371306893812,1997.9676287975733,2965.564280010656,2010.06298876724,2647.1586372105485
1999.0520403810608,7412.26377428802,1998.3847101758377,5029.711205749285,1998.3847101758377,4206.248336438661,1998.3012939001849,3064.3798243279307,2010.3966538698517,2789.8922012243893
1999.3857054836722,7472.651051370798,1998.7183752784492,5112.057492680346,1998.7183752784492,4283.104870907653,1998.6349590027964,3157.705616183135,2010.7303189724632,2943.605270162372
1999.7193705862837,7538.528080915648,1999.0520403810608,5194.403779611408,1999.0520403810608,4365.4511578387155,1998.9686241054078,3267.5006654245517,2011.0639840750746,3064.3798243279307
