,Year,t
0,1990,5478.94053482059
1,1991,6861.236916477194
2,1992,5494.323758414147
3,1993,5175.01501376842
4,1994,6476.603298434254
5,1995,6195.073556668009
6,1996,6953.834222184809
7,1997,6982.708758077034
8,1998,7960.431716905239
9,1999,8948.763997628304
10,2000,7828.817491147956
11,2001,8870.816242647074
12,2002,8711.25108647736
13,2003,7679.196398493649
14,2004,8263.683370090379
15,2005,9848.809992426053
16,2006,9921.771350719126
17,2007,8917.231820967745
18,2008,9535.575419656201
19,2009,9099.168804097593
20,2010,9017.322428204594
21,2011,7881.7206575348555
22,2012,7649.249653759118
23,2013,7177.13772290079
24,2014,6632.934225353814
25,2015,6232.514733419938
26,2016,4893.744905782143
27,2017,5134.604888904658
28,2018,5533.3104757515675
29,2019,5168.856678192113
30,2020,5536.825183570322
