,Year,t
0,1990,6.451697925357667
1,1991,6.715727609706973
2,1992,6.647298964825717
3,1993,6.262660766056067
4,1994,6.090112735646384
5,1995,6.169767240043479
6,1996,6.222699859301314
7,1997,6.0303098954902215
8,1998,6.223248069866657
9,1999,6.232944582376994
10,2000,6.083975362772732
11,2001,6.245589468335044
12,2002,5.9814382176032606
13,2003,6.1097552650558296
14,2004,6.128037620312263
15,2005,6.165119135578783
16,2006,6.076924248663872
17,2007,5.766193266506133
18,2008,5.879237807568967
19,2009,5.639146825389139
20,2010,5.7774218204965715
21,2011,5.206044994197714
22,2012,5.316661124908886
23,2013,5.381300293002673
24,2014,4.859568409880556
25,2015,4.719745349051169
26,2016,4.737238601857467
27,2017,4.578766280478571
28,2018,4.402143727356554
29,2019,4.358609864634158
30,2020,4.042072814753408
