,Year,t
0,1990,4.020867687420793
1,1991,3.9833428888305544
2,1992,3.9103102911998544
3,1993,3.874985250237372
4,1994,3.84202730877612
5,1995,3.893876263859271
6,1996,3.919585121127784
7,1997,3.9352786913049322
8,1998,3.907460918063695
9,1999,3.8814418105465234
10,2000,3.9516604250222094
11,2001,3.9580886917346048
12,2002,3.961470272913067
13,2003,4.0900816142766825
14,2004,4.223794233801416
15,2005,4.329790027050539
16,2006,4.41713459443952
17,2007,4.528065637085047
18,2008,4.503617261604989
19,2009,4.391331640122324
20,2010,4.604834238280961
21,2011,4.689501940371277
22,2012,4.685310416229176
23,2013,4.719386052957807
24,2014,4.681813042961707
25,2015,4.600796550826199
26,2016,4.557519662541087
27,2017,4.577306263496402
28,2018,4.641293735229043
29,2019,4.58203557903014
30,2020,4.291853095816188
