,Year,t
0,1990,2413.9021778137408
1,1991,2427.5281667514105
2,1992,2471.8985298236757
3,1993,2496.8436354500327
4,1994,2550.6755099937477
5,1995,2557.136390732529
6,1996,2597.102762076603
7,1997,2648.887988889016
8,1998,2695.4736049752123
9,1999,2770.850582580228
10,2000,2812.651199937525
11,2001,2835.1216417134956
12,2002,2871.257836879345
13,2003,2847.1127353880443
14,2004,2860.3547734659355
15,2005,2880.211763942222
16,2006,2929.917446815695
17,2007,2967.4849981216435
18,2008,3026.770899010387
19,2009,3044.288331392817
20,2010,3013.664475970315
21,2011,3036.952258098675
22,2012,3098.2274850437047
23,2013,3136.283407802501
24,2014,3229.674099263151
25,2015,3356.589634267979
26,2016,3458.46852628094
27,2017,3532.6877525945565
28,2018,3570.9855055872017
29,2019,3680.6555263817795
30,2020,3775.564714126192
