,Year,t
0,1990,460.1236966805106
1,1991,473.6120037640645
2,1992,436.376415633059
3,1993,469.3978174215818
4,1994,476.3707587388805
5,1995,465.8332957455243
6,1996,502.4025414510302
7,1997,544.2140759296956
8,1998,584.0687207260154
9,1999,636.7917410560727
10,2000,628.6932793793861
11,2001,687.1934739829293
12,2002,731.9895083808899
13,2003,762.2861824658305
14,2004,801.4271275679494
15,2005,832.8388607404504
16,2006,890.4529567824804
17,2007,934.7363488386181
18,2008,977.1908773629372
19,2009,1011.5612906760912
20,2010,1047.5914312157267
21,2011,1092.7732451422926
22,2012,1137.2848147337115
23,2013,1179.6700241618973
24,2014,1228.656835192299
25,2015,1271.9618731689322
26,2016,1279.9205064881207
27,2017,1287.234867346611
28,2018,1292.8976544777547
29,2019,1285.1827595965092
30,2020,1233.4249959559188
31,2021,1226.766964489864
32,2022,1243.0736377951175
