,Country,t
0,ABW,33155.243239260184
1,AFE,3455.023118998187
2,AFG,1968.3410015211643
3,AFW,3957.9338040931802
4,AGO,6029.691894953394
5,ALB,13278.369768708613
6,AND,1.0
7,ARB,13466.48975543655
8,ARE,67668.28664132653
9,ARG,19685.215869505017
10,ARM,13357.69706385725
11,ASM,1.0
12,ATG,18787.564379463463
13,AUS,48747.85171451329
14,AUT,51988.4158297933
15,AZE,13726.76965768852
16,BDI,711.355263423169
17,BEL,48988.23470378974
18,BEN,3186.486294415576
19,BFA,2093.7336472986876
20,BGD,5591.373778188141
21,BGR,22479.582939657375
22,BHR,47994.41429242257
23,BHS,25780.414176445545
24,BIH,14587.481736905855
25,BLR,19239.553142745815
26,BLZ,7703.118041043524
27,BMU,76117.80474387266
28,BOL,7679.933194498025
29,BRA,14109.763969044454
30,BRB,13805.77754108458
31,BRN,61603.55080361864
32,BTN,10547.051505250716
33,BWA,13545.218171150938
34,CAF,847.7650124205834
35,CAN,46181.75755457564
36,CEB,31638.192871924046
37,CHE,67765.88142902593
38,CHI,1.0
39,CHL,22970.5504351843
40,CHN,16296.609378967843
41,CIV,5092.163471032511
42,CMR,3665.5105811133776
43,COD,1044.0712138463073
44,COG,3384.6543353217503
45,COL,13358.2980828837
46,COM,3222.374089295978
47,CPV,6228.428610894474
48,CRI,19778.38653026132
49,CSS,15014.513551293156
50,CUB,1.0
51,CUW,19607.431875924365
52,CYM,67530.69380004944
53,CYP,39464.53515625
54,CZE,38639.979520260065
55,DEU,51840.32969193581
56,DJI,4753.887886013397
57,DMA,10255.760984412134
58,DNK,55518.59710091558
59,DOM,16768.42610442551
60,DZA,10844.770763706258
61,EAP,14458.04724170264
62,EAR,8929.724924200014
63,EAS,17604.5268718842
64,ECA,21363.41465752069
65,ECS,33484.22906766759
66,ECU,10356.974201715828
67,EGY,11989.599251464588
68,EMU,44001.92562664666
69,ERI,1.0
70,ESP,35987.239644842164
71,EST,35883.26532526099
72,ETH,2253.2357883219242
73,EUU,41814.820547816424
74,FCS,4358.170656147488
75,FIN,47371.21756987282
76,FJI,10966.925129584664
77,FRA,42233.1396001127
78,FRO,1.0
79,FSM,3455.7764338706115
80,GAB,13903.288954665359
81,GBR,41741.0214460528
82,GEO,13966.326335016558
83,GHA,5263.526604015533
84,GIB,1.0
85,GIN,2604.1172340730163
86,GMB,2042.620289351634
87,GNB,1803.6305907650958
88,GNQ,15132.37997421416
89,GRC,27103.540907337152
90,GRD,13175.521742100791
91,GRL,1.0
92,GTM,8389.10673604404
93,GUM,1.0
94,GUY,18430.56974542891
95,HIC,47649.70964135414
96,HKG,55892.11097470936
97,HND,5028.145108919893
98,HPC,2496.835435076706
99,HRV,26945.878450492954
100,HTI,2970.4628453088812
101,HUN,31232.101080990775
102,IBD,13045.436774275935
103,IBT,10592.082860635184
104,IDA,3820.60391179854
105,IDB,4887.913471134012
106,IDN,11515.680743615412
107,IDX,3310.2848482920654
108,IMN,1.0
109,IND,6172.042386391444
110,INX,1.0
111,IRL,91356.85505380198
112,IRN,14432.362714039966
113,IRQ,8848.118456780128
114,ISL,51641.392081009624
115,ISR,39680.66587035705
116,ITA,39091.40605501774
117,JAM,9208.368569666196
118,JOR,9184.003545664758
119,JPN,39989.57860668175
120,KAZ,25361.50799100154
121,KEN,4497.362975023287
122,KGZ,4726.196558863615
123,KHM,4276.184538991781
124,KIR,1897.0619217901406
125,KNA,26701.115459001474
126,KOR,42396.761944199534
127,KWT,43922.630209562616
128,LAC,14300.67284829938
129,LAO,7763.948881340963
130,LBN,13791.27029954364
131,LBR,1383.8280991000138
132,LBY,15621.000033071854
133,LCA,11650.93031925623
134,LCN,14911.008025523768
135,LDC,3068.7057805598356
136,LIC,1927.798713920057
137,LIE,1.0
138,LKA,12939.440565654826
139,LMC,6544.217962522215
140,LMY,10261.509335788985
141,LSO,2285.082719035516
142,LTE,17345.036728490453
143,LTU,37166.29605678265
144,LUX,111751.3147513618
145,LVA,30568.50181563222
146,MAC,55158.712729193634
147,MAF,1.0
148,MAR,7545.9951171875
149,MCO,1.0
150,MDA,11848.89952657619
151,MDG,1436.20695047955
152,MDV,13419.3345511644
153,MEA,15580.714472277172
154,MEX,18327.99076323964
155,MHL,5711.071926369878
156,MIC,11215.691422442304
157,MKD,15779.730193018311
158,MLI,2123.828202163769
159,MLT,41012.96849954732
160,MMR,4947.093961393393
161,MNA,10241.123490657708
162,MNE,18258.976366749986
163,MNG,11666.779701198984
164,MNP,1.0
165,MOZ,1233.4249959559188
166,MRT,5314.849370171673
167,MUS,20219.81008118061
168,MWI,1489.6013808411024
169,MYS,25830.973590392216
170,NAC,58724.2856886164
171,NAM,9041.769860485789
172,NCL,1.0
173,NER,1214.5465562107745
174,NGA,4865.086832169077
175,NIC,5230.561422873521
176,NLD,54275.0030465677
177,NOR,63776.160965344156
178,NPL,3761.8027875187113
179,NRU,10812.889284414861
180,NZL,42052.14096777264
181,OED,42542.158410503296
182,OMN,33098.209899809735
183,OSS,20962.591611327567
184,PAK,5004.352241918665
185,PAN,26606.294977685287
186,PER,11187.343789603729
187,PHL,7773.260230744068
188,PLW,15952.527357472454
189,PNG,3741.661577900964
190,POL,32546.825941931886
191,PRE,3339.3712312833713
192,PRI,32437.96514791344
193,PRK,1.0
194,PRT,32011.325158682892
195,PRY,13317.321118433343
196,PSE,5402.538772756502
197,PSS,6236.0254980826085
198,PST,46660.025199688826
199,PYF,1.0
200,QAT,89019.069857331
201,ROU,29057.28460392857
202,RUS,26586.5546875
203,RWA,2066.6286592528595
204,SAS,5937.446740055689
205,SAU,44770.908279760886
206,SDN,3874.80029296875
207,SEN,3384.4417824662637
208,SGP,94910.10143137259
209,SLB,2469.174214928472
210,SLE,1586.3549429916561
211,SLV,8295.627991993553
212,SMR,56364.21416319121
213,SOM,1127.418533994679
214,SRB,18262.706401510804
215,SSA,3655.237971921883
216,SSD,1.0
217,SSF,3657.182159592832
218,SST,19026.366476055286
219,STP,4058.6740025447784
220,SUR,15329.179105804476
221,SVK,30960.257299971192
222,SVN,37098.11934039697
223,SWE,51331.2822226344
224,SWZ,8290.409444911043
225,SXM,30850.916579702127
226,SYC,26439.120237955423
227,SYR,1.0
228,TCA,18474.86599487687
229,TCD,1489.186712179657
230,TEA,14618.55603845962
231,TEC,22650.493979976727
232,TGO,2064.1366073939803
233,THA,16865.548770916295
234,TJK,3651.9426602834665
235,TKM,14269.641029788265
236,TLA,14838.5643992645
237,TLS,4856.5182914253855
238,TMN,10299.45640768429
239,TON,6357.069914452661
240,TSA,5937.446740055689
241,TSS,3657.1821595928327
242,TTO,23391.316198833167
243,TUN,10040.135993665323
244,TUR,28473.205858382837
245,TUV,4577.968155097118
246,TZA,2551.5068359375
247,UGA,2240.490237290826
248,UKR,12407.7900390625
249,UMC,16470.56943223548
250,URY,22073.374872663455
251,USA,60158.9104528302
252,UZB,7407.727640085144
253,VCT,13690.973397358373
254,VEN,1.0
255,VGB,1.0
256,VIR,1.0
257,VNM,10450.622381569274
258,VUT,2848.970239759817
259,WLD,16204.169106776857
260,WSM,6062.471735453036
261,XKX,10706.513975629761
262,YEM,1.0
263,ZAF,12815.909590529323
264,ZMB,3183.6507732625855
265,ZWE,1990.319419198254
