,Unnamed: 0,D12LPa,D12LYa,D12Ura,D12LWa,date
0,1992(4),,,,,1992-04-01
1,1992(5),,,,,1992-05-01
2,1992(6),,,,,1992-06-01
3,1992(7),,,,,1992-07-01
4,1992(8),,,,,1992-08-01
5,1992(9),,,,,1992-09-01
6,1992(10),,,,,1992-10-01
7,1992(11),,,,,1992-11-01
8,1992(12),,,,,1992-12-01
9,1993(1),,,,,1993-01-01
10,1993(2),,,,,1993-02-01
11,1993(3),,,,,1993-03-01
12,1993(4),2.556049697953444,,0.7000000000000006,,1993-04-01
13,1993(5),2.2258470600942992,,0.6000000000000019,,1993-05-01
14,1993(6),2.2258470600942992,,0.49999999999999906,,1993-06-01
15,1993(7),2.2329476398088133,,0.40000000000000036,,1993-07-01
16,1993(8),2.5438573638684403,,0.40000000000000036,,1993-08-01
17,1993(9),2.69216575662643,,0.20000000000000157,,1993-09-01
18,1993(10),2.371652661731538,,0.0,,1993-10-01
19,1993(11),2.058663360838775,,-0.10000000000000009,,1993-11-01
20,1993(12),2.211780525361906,,-0.30000000000000165,,1993-12-01
21,1994(1),2.531780798428951,,-0.6000000000000005,,1994-01-01
22,1994(2),2.3641763057040244,,-0.6000000000000005,,1994-02-01
23,1994(3),2.197890671877545,,-0.7999999999999994,,1994-03-01
24,1994(4),2.338376226686467,,-0.7000000000000006,,1994-04-01
25,1994(5),2.331107886844741,,-0.7000000000000006,,1994-05-01
26,1994(6),2.331107886844741,,-0.8000000000000007,,1994-06-01
27,1994(7),2.029734006367523,,-0.8000000000000007,,1994-07-01
28,1994(8),2.1739986636406528,,-0.8999999999999995,,1994-08-01
29,1994(9),1.8576385572935727,,-0.9999999999999996,,1994-09-01
30,1994(10),1.7041465854852333,,-1.1999999999999997,,1994-10-01
31,1994(11),2.170627858186336,,-1.2999999999999985,,1994-11-01
32,1994(12),2.3167059281535174,,-1.4,,1994-12-01
33,1995(1),2.3167059281535174,,-1.2999999999999985,,1995-01-01
34,1995(2),2.309571479464978,,-1.0999999999999996,,1995-02-01
35,1995(3),2.454110891611716,,-0.8999999999999995,,1995-03-01
36,1995(4),2.284943277234408,,-1.0000000000000009,,1995-04-01
37,1995(5),2.428040370705453,,-1.0000000000000009,,1995-05-01
38,1995(6),2.5778531328076504,,-0.899999999999998,,1995-06-01
39,1995(7),2.8943376039488378,,-0.899999999999998,,1995-07-01
40,1995(8),2.727441791965912,,-0.6999999999999993,,1995-08-01
41,1995(9),3.0213778596496432,,-0.6000000000000019,,1995-09-01
42,1995(10),3.0259494763112293,,-0.49999999999999906,,1995-10-01
43,1995(11),2.87245750450289,,-0.7000000000000006,,1995-11-01
44,1995(12),3.007745523727756,,-0.5000000000000004,,1995-12-01
45,1996(1),2.85948752770544,,-0.6000000000000019,,1996-01-01
46,1996(2),2.9987254427664034,,-0.6999999999999993,,1996-02-01
47,1996(3),2.838129253822519,,-0.6000000000000005,,1996-03-01
48,1996(4),2.8212710094355664,,-0.49999999999999906,,1996-04-01
49,1996(5),2.8087581810261497,,-0.40000000000000036,,1996-05-01
50,1996(6),2.8046118685703725,,-0.6000000000000019,,1996-06-01
51,1996(7),2.520518903040081,,-0.5000000000000004,,1996-07-01
52,1996(8),2.6550232094121107,,-0.6000000000000005,,1996-08-01
53,1996(9),2.6433257068156024,,-0.5999999999999992,,1996-09-01
54,1996(10),2.93706867959882,,-0.6000000000000005,,1996-10-01
55,1996(11),3.0816818645988064,,-0.40000000000000036,,1996-11-01
56,1996(12),2.7759269634274553,,-0.6999999999999993,,1996-12-01
57,1997(1),2.635584470536312,,-0.7999999999999979,,1997-01-01
58,1997(2),2.335872627762825,,-0.8999999999999995,,1997-02-01
59,1997(3),2.185083294810841,,-1.0999999999999996,,1997-03-01
60,1997(4),2.0290551189733996,,-1.0999999999999996,,1997-04-01
61,1997(5),2.0202707317519497,,-1.0999999999999996,,1997-05-01
62,1997(6),2.0173594812240125,,-0.7999999999999979,,1997-06-01
63,1997(7),2.4585475472615137,,-1.0000000000000009,,1997-07-01
64,1997(8),2.3022599588315096,,-1.200000000000001,,1997-08-01
65,1997(9),2.150620522096336,,-1.2999999999999998,,1997-09-01
66,1997(10),2.1475413725571713,,-1.2999999999999998,,1997-10-01
67,1997(11),2.0029281875571847,,-1.2999999999999998,,1997-11-01
68,1997(12),1.8558705389768448,,-1.2999999999999998,,1997-12-01
69,1998(1),1.7192400540372965,3.5812052295995933,-1.100000000000001,,1998-01-01
70,1998(2),1.8585238303338691,3.2758672323801363,-1.0000000000000009,,1998-02-01
71,1998(3),1.997213318691493,2.746898705934342,-0.9000000000000008,,1998-03-01
72,1998(4),2.129250065145172,3.158674346691459,-0.9000000000000008,,1998-04-01
73,1998(5),2.120220765060221,3.5275969347345892,-0.8999999999999995,,1998-05-01
74,1998(6),1.8375075304994937,3.051662925500054,-1.100000000000001,,1998-06-01
75,1998(7),1.6997576368570577,3.6238906395693604,-0.7999999999999994,,1998-07-01
76,1998(8),1.5526070528919966,3.5784329269866078,-0.5999999999999992,,1998-08-01
77,1998(9),1.6878037787352085,3.3853841937283136,-0.5000000000000004,,1998-09-01
78,1998(10),1.546060310637909,3.6444847628765764,-0.40000000000000036,,1998-10-01
79,1998(11),1.685433155498206,3.5676252421423804,-0.40000000000000036,,1998-11-01
80,1998(12),1.822054611352808,3.3549290559932388,-0.10000000000000009,,1998-12-01
81,1999(1),1.9691212890180942,3.6013420792283313,-0.10000000000000009,,1999-01-01
82,1999(2),1.824612022780503,2.905017593846093,-0.20000000000000018,,1999-02-01
83,1999(3),2.096512846504517,2.838261649671736,-0.10000000000000009,,1999-03-01
84,1999(4),1.9472103412820019,1.6432389014840787,-0.10000000000000009,,1999-04-01
85,1999(5),1.8018505502678472,2.7443760967065245,-0.20000000000000018,,1999-05-01
86,1999(6),1.8043515193934212,2.7963406507988786,-0.30000000000000027,,1999-06-01
87,1999(7),1.6713480973741035,2.806860825127888,-0.40000000000000036,,1999-07-01
88,1999(8),1.6667052485210831,3.110291491494621,-0.40000000000000036,,1999-08-01
89,1999(9),1.5225207597064916,3.2156176683754367,-0.3999999999999997,,1999-09-01
90,1999(10),1.5225207597064916,3.6073414621611732,-0.2999999999999996,,1999-10-01
91,1999(11),1.5204162960434253,3.5874306397169597,-0.40000000000000036,,1999-11-01
92,1999(12),1.516224773967778,3.0827577248263793,-0.3999999999999997,,1999-12-01
93,2000(1),1.1080445776571857,3.996915942849988,-0.4999999999999998,,2000-01-01
94,2000(2),1.2439690475638976,4.053152299023033,-0.40000000000000036,,2000-02-01
95,2000(3),0.9635311983672068,3.8469627197415868,-0.4999999999999998,,2000-03-01
96,2000(4),0.9595687061855429,5.0690870181325565,-0.4999999999999998,,2000-04-01
97,2000(5),0.9569451016150587,4.539221789669146,-0.5999999999999992,,2000-05-01
98,2000(6),1.2303641195357429,4.524989677729074,-0.7,,2000-06-01
99,2000(7),1.2354309500934413,3.6812701631879996,-0.5999999999999999,,2000-07-01
100,2000(8),0.9595687061855429,4.146802686914608,-0.5999999999999999,,2000-08-01
101,2000(9),1.3642776403786527,3.5146847476845267,-0.40000000000000036,,2000-09-01
102,2000(10),1.3642776403786527,2.787095606375889,-0.6000000000000005,,2000-10-01
103,2000(11),1.4976454189557842,2.6750446938931915,-0.4999999999999998,,2000-11-01
104,2000(12),1.2236726448437096,3.0290073517496907,-0.7,,2000-12-01
105,2001(1),1.2320484388040676,2.772256732100331,-0.6000000000000005,5.1129346522603925,2001-01-01
106,2001(2),1.2286843992651342,2.6208980604587317,-0.7,8.004270767353638,2001-02-01
107,2001(3),1.2253386805765487,3.139946006608163,-0.7,4.71044691874738,2001-03-01
108,2001(4),1.4895332946441187,2.728727524370278,-0.7,5.355610446896186,2001-04-01
109,2001(5),1.8868484304383593,2.660717316998351,-0.5000000000000004,5.0167258718019525,2001-05-01
110,2001(6),1.8843087801479363,2.660939393500872,-0.20000000000000018,5.322069620491021,2001-06-01
111,2001(7),1.6238516492908417,3.0043446393956508,-0.20000000000000018,4.68104178439912,2001-07-01
112,2001(8),2.025727608782635,2.4937425434733207,-0.20000000000000018,4.95457365514298,2001-08-01
113,2001(9),1.6129381929883557,2.7410504612468856,-0.2999999999999996,4.321660149978257,2001-09-01
114,2001(10),1.4795158916747653,2.9163584067306125,-0.20000000000000018,4.609110720026699,2001-10-01
115,2001(11),1.208879731900403,2.6303010014716577,-0.0999999999999994,4.281999718292884,2001-11-01
116,2001(12),1.3423020332139934,2.2705708493380605,0.0999999999999994,3.348866975404441,2001-12-01
