,Year,TotalFuel,UKTotOil,UKGas,passthrough,Dp,Date,time
0,1860,50.41,0.01,0.0,,,1860.0,1860-01-01
1,1861,52.515,0.015,0.0,61.5149435048767,0.039980134472766334,1861.0,1861-01-01
2,1862,54.629999999999995,0.03,0.0,2.4209434167278054,0.004980970986801073,1862.0,1862-01-01
3,1863,57.445,0.045,0.0,46.88226510350822,0.02970875960644364,1863.0,1863-01-01
4,1864,58.86,0.06,0.0,48.364174570827245,0.03060457325235988,1864.0,1864-01-01
5,1865,60.975,0.075,0.0,1.4985344117608101,-0.0039004257418232546,1865.0,1865-01-01
6,1866,63.089999999999996,0.09,0.0,43.03151549269191,0.027483749879871608,1866.0,1866-01-01
7,1867,65.19999999999999,0.1,0.0,0.06871154346339559,-0.0008292091936802359,1867.0,1867-01-01
8,1868,67.31499999999998,0.115,0.0,52.890505857662106,-0.03350693012187861,1868.0,1868-01-01
9,1869,68.72999999999999,0.13,0.0,0.02068541587675332,-0.0004548592708338295,1869.0,1869-01-01
10,1870,70.84499999999998,0.145,0.0,13.424654511108203,-0.012452439552368855,1870.0,1870-01-01
11,1871,72.25999999999999,0.16,0.0,38.49734994688864,0.025018916796338594,1871.0,1871-01-01
12,1872,73.675,0.175,0.0,77.14039416572574,0.058090693071927976,1872.0,1872-01-01
13,1873,75.78999999999999,0.19,0.0,70.03927973447082,0.048349803207476755,1873.0,1873-01-01
14,1874,77.215,0.215,0.0,50.27904872375666,-0.03179975775250421,1874.0,1874-01-01
15,1875,79.33,0.23,0.0,68.32178548785383,-0.04644075334162456,1875.0,1875-01-01
16,1876,80.745,0.245,0.0,41.23779560476528,-0.026491020036348054,1876.0,1876-01-01
17,1877,82.16,0.26,0.0,23.30279662235395,-0.017430677117400928,1877.0,1877-01-01
18,1878,84.275,0.275,0.0,13.231843283799671,-0.012348948757594291,1878.0,1878-01-01
19,1879,85.69,0.29,0.0,65.40010481462832,-0.04347622529273121,1879.0,1879-01-01
20,1880,87.115,0.315,0.0,60.11973577566365,0.038826613994274145,1880.0,1880-01-01
21,1881,88.52999999999999,0.33,0.0,53.052903432885245,-0.03361632307944148,1881.0,1881-01-01
22,1882,89.945,0.345,0.0,14.105797759320659,0.01281494956281612,1882.0,1882-01-01
23,1883,91.36,0.36,0.0,9.975277814864558,-0.010526442075313919,1883.0,1883-01-01
24,1884,92.77499999999999,0.375,0.0,22.659373199103815,-0.017116702500775512,1884.0,1884-01-01
25,1885,94.19,0.39,0.0,37.095356503060586,-0.024283899223076808,1885.0,1885-01-01
26,1886,94.915,0.415,0.0,6.814889276773584,-0.008551772506245637,1886.0,1886-01-01
27,1887,96.32,0.42,0.0,0.11630480705669966,-0.0010790747547997784,1887.0,1887-01-01
28,1888,97.73,0.43,0.0,5.188138284790645,-0.007397320480479492,1888.0,1888-01-01
29,1889,99.14499999999998,0.445,0.0,31.18207096347092,0.021286373501569505,1889.0,1889-01-01
30,1890,100.54799999999999,0.448,0.0,13.906022215735758,0.012709108064252517,1890.0,1890-01-01
31,1891,102.002,0.502,0.0,8.58772210753994,-0.00969252044274311,1891.0,1891-01-01
32,1892,103.45599999999999,0.556,0.0,0.2494949384692302,-0.0015815150098754237,1892.0,1892-01-01
33,1893,104.90899999999999,0.609,0.0,0.24089341311441803,-0.0015539469448810636,1893.0,1893-01-01
34,1894,105.663,0.663,0.0,3.641219813055907,-0.006147206491551209,1894.0,1894-01-01
35,1895,107.11599999999999,0.716,0.0,20.292406344888324,-0.015955739089956917,1895.0,1895-01-01
36,1896,108.57,0.77,0.0,3.9391350741547426,0.006403644150445809,1896.0,1896-01-01
37,1897,110.02399999999999,0.824,0.0,3.0032502007758755,0.00556438493810849,1897.0,1897-01-01
38,1898,111.47699999999999,0.877,0.0,11.8703630304421,0.01160569117784264,1898.0,1898-01-01
39,1899,112.931,0.931,0.0,37.94374794051151,0.024727336679734126,1899.0,1899-01-01
40,1900,115.08399999999999,0.984,0.0,74.55400075219734,0.05412846631123819,1900.0,1900-01-01
41,1901,116.52199999999999,1.022,0.0,6.232109858361912,-0.008152493817622355,1901.0,1901-01-01
42,1902,117.96,1.06,0.0,25.764992918129014,-0.018629904840078433,1902.0,1902-01-01
43,1903,120.09699999999998,1.097,0.0,1.3013548720092638,0.0036311339971352025,1903.0,1903-01-01
44,1904,121.535,1.135,0.0,2.023438396990629,-0.004544476859827777,1904.0,1904-01-01
45,1905,122.973,1.173,0.0,0.13947366430387964,-0.0011818141352595637,1905.0,1905-01-01
46,1906,124.40999999999998,1.21,0.0,6.057001837734177,0.008029650536647233,1906.0,1906-01-01
47,1907,126.548,1.248,0.0,13.302650439673712,0.012387001184875887,1907.0,1907-01-01
48,1908,127.98599999999999,1.286,0.0,7.51246555041064,0.009012590644778759,1908.0,1908-01-01
49,1909,130.123,1.323,0.0,12.356918707167209,-0.011873978983442113,1909.0,1909-01-01
50,1910,132.261,1.361,0.0,2.571753050653347,0.005137740770037563,1910.0,1910-01-01
51,1911,134.543,1.543,0.0,15.172604157440439,0.013374020866807071,1911.0,1911-01-01
52,1912,136.825,1.725,0.0,33.9920578442763,0.02269293304714158,1912.0,1912-01-01
53,1913,139.107,1.907,0.0,8.348688099348745,0.009544205358692742,1913.0,1913-01-01
54,1914,135.789,2.089,0.0,5.599358034166723,-0.007701612171691075,1914.0,1914-01-01
55,1915,141.57,2.27,0.0,94.00713328525752,0.12524577810558474,1915.0,1915-01-01
56,1916,148.052,2.452,0.0,95.11228645914778,0.139497183330904,1916.0,1916-01-01
57,1917,147.53399999999996,2.634,0.0,98.15479218395903,0.23063919372853708,1917.0,1917-01-01
58,1918,135.816,2.816,0.0,96.4761404964834,0.1654629139152728,1918.0,1918-01-01
59,1919,132.498,2.998,0.0,96.24171142917663,0.16002454720324177,1919.0,1919-01-01
60,1920,139.224,3.424,0.0,96.59367020032317,0.16839569591751913,1920.0,1920-01-01
61,1921,96.97,4.57,0.0,88.51922608274553,-0.0878078253910648,1921.0,1921-01-01
62,1922,123.55799999999999,4.558,0.0,97.19655815233122,-0.18619999595713488,1922.0,1922-01-01
63,1923,133.003,4.903,0.0,87.36107882934947,-0.0831388459349196,1923.0,1923-01-01
64,1924,137.308,5.708,0.0,26.53593973716023,-0.019005520688470057,1924.0,1924-01-01
65,1925,130.903,5.603,0.0,12.055816260890339,0.011708324459590691,1925.0,1925-01-01
66,1926,93.01599999999999,6.916,0.0,34.52761269755239,-0.022964351586985954,1926.0,1926-01-01
67,1927,137.69,7.49,0.0,38.061725412988125,-0.024789324032962523,1927.0,1927-01-01
68,1928,129.397,7.597,0.0,4.2076721871719736,-0.006627589254549093,1928.0,1928-01-01
69,1929,136.48199999999997,7.682,0.0,0.613561781667582,-0.002484652094137507,1929.0,1929-01-01
70,1930,131.071,8.571,0.0,0.02949951773820736,0.0005432147137324206,1930.0,1930-01-01
71,1931,121.31599999999999,7.916,0.0,51.34218048494598,-0.03248335160015092,1931.0,1931-01-01
72,1932,119.332,8.032,0.0,52.7544320268708,-0.0334155749989018,1932.0,1932-01-01
73,1933,120.054,8.754,0.0,30.456268881597193,-0.020927114728568896,1933.0,1933-01-01
74,1934,128.82199999999997,9.822,0.0,0.3405038326923071,-0.0018484242550902419,1934.0,1934-01-01
75,1935,133.069,9.869,0.0,4.024221789331605,0.006475303562872403,1935.0,1935-01-01
