,x,y0,y1,y2,y3,y4,ym,y2b,y3b
0,2017-01-31,2.064516129,,,,,,,
1,2017-02-28,2.3010752686666667,,,,,,,
2,2017-03-31,2.537634408333333,,,,,,,
3,2017-04-30,2.774193548,,,,,,,
4,2017-05-31,2.78225806425,,,,,,,
5,2017-06-30,2.7903225805,,,,,,,
6,2017-07-31,2.79838709675,,,,,,,
7,2017-08-31,2.806451613,,,,,,,
8,2017-09-30,2.8709677420000004,,,,,,,
9,2017-10-31,2.935483871,,,,,,,
10,2017-11-30,2.8322580646,,,,,,,
11,2017-12-31,2.7290322582,,,,,,,
12,2018-01-31,2.6258064518,,,,,,,
13,2018-02-28,2.5225806454,,,,,,,
14,2018-03-31,2.419354839,,,,,,,
15,2018-04-30,2.440860215333333,,,,,,,
16,2018-05-31,2.462365591666667,,,,,,,
17,2018-06-30,2.483870968,,,,,,,
18,2018-07-31,2.3709677421666666,,,,,,,
19,2018-08-31,2.2580645163333335,,,,,,,
20,2018-09-30,2.1451612905,,,,,,,
21,2018-10-31,2.032258064666667,,,,,,,
22,2018-11-30,1.9193548388333332,,,,,,,
23,2018-12-31,1.806451613,,,,,,,
24,2019-01-31,1.8817204303333332,,,,,,,
25,2019-02-28,1.9569892476666668,,,,,,,
26,2019-03-31,2.032258065,,,,,,,
27,2019-04-30,1.9569892476666668,,,,,,,
28,2019-05-31,1.8817204303333332,,,,,,,
29,2019-06-30,1.806451613,,,,,,,
30,2019-07-31,1.6559139786666666,,,,,,,
31,2019-08-31,1.5053763443333332,,,,,,,
32,2019-09-30,1.35483871,,,,,,,
33,2019-10-31,1.4408602153333332,,,,,,,
34,2019-11-30,1.5268817206666667,,,,,,,
35,2019-12-31,1.612903226,,,,,,,
36,2020-01-31,1.2580645163333333,,,,,,,
37,2020-02-29,0.9032258066666666,,,,,,,
38,2020-03-31,0.548387097,,,,,,,
39,2020-04-30,0.541935484,,,,,,,
40,2020-05-31,0.5354838710000001,,,,,,,
41,2020-06-30,0.529032258,,,,,,,
42,2020-07-31,0.522580645,,,,,,,
43,2020-08-31,0.516129032,,,,,,,
44,2020-09-30,0.5403225805,,,,,,,
45,2020-10-31,0.564516129,,,,,,,
46,2020-11-30,0.5887096775,,,,,,,
47,2020-12-31,0.612903226,,,,,,,
48,2021-01-31,1.0860215056666667,,,,,,,
49,2021-02-28,1.5591397853333335,,,,,,,
50,2021-03-31,2.032258065,,,,,,,
51,2021-04-30,2.2473118283333333,,,,,,,
52,2021-05-31,2.462365591666667,,,,,,,
53,2021-06-30,2.677419355,,,,,,,
54,2021-07-31,3.4193548386666666,,,,,,,
55,2021-08-31,4.1612903223333335,,,,,,,
56,2021-09-30,4.903225806,4.890720684,4.890720684,4.890720684,4.890720684,4.890720684,4.890720684,4.890720684
57,2021-10-31,,5.147280116499999,5.262121005333333,5.359857932,5.125289307999999,5.136284712249999,5.010448419166665,4.912711492499999
58,2021-11-30,,5.403839549,5.633521326666666,5.828995180000001,5.257234158999999,5.330536854,5.027552381333334,4.832078527999999
59,2021-12-31,,5.6603989815,6.004921648,6.298132428000001,5.389179009999999,5.52478899575,5.0446563435,4.751445563499999
60,2022-01-31,,5.916958414,6.513153665333333,6.943196144,5.741031946,5.82899518,5.144836694666666,4.714794216
61,2022-02-28,,6.474058896,7.021385682666668,7.602920397,6.092884882,6.283471888999999,5.545558095333331,4.964023380999999
62,2022-03-31,,7.031159378,7.529617700000001,8.26264465,6.444737818,6.737948598,5.946279495999999,5.213252546
63,2022-04-30,,7.0018383,7.529617700000001,8.3310605,6.327453506,6.664645903,5.799674105999999,4.998231306000001
64,2022-05-31,,6.972517222,7.529617700000001,8.39947635,6.210169194000001,6.591343208,5.653068715999998,4.783210065999999
65,2022-06-30,,6.943196144,7.529617700000001,8.4678922,5.975600570000001,6.459398357,5.389179014,4.450904514000001
66,2022-07-31,,6.659759056666666,7.295049077333334,8.301739423333332,5.6530687120000005,6.156413884333333,5.017778691333333,4.011088345333334
67,2022-08-31,,6.3763219693333335,7.060480454666668,8.135586646666667,5.330536854,5.853429411666667,4.646378368666666,3.5712721766666675
68,2022-09-30,,6.092884882,6.825911832000001,7.96943387,5.203478849333333,5.6481818656666665,4.470451899333332,3.3269298613333333
69,2022-10-31,,5.9462794919999995,6.669532749333334,7.881470636666666,5.076420844666666,5.511350168333333,4.353167587333332,3.1412297000000002
70,2022-11-30,,5.799674102,6.513153666666667,7.793507403333333,4.949362839999999,5.374518471,4.235883275333333,2.955529538666667
71,2022-12-31,,5.653068712,6.356774584,7.70554417,4.597509904000001,5.125289308,3.8938040320000002,2.5450344460000007
72,2023-01-31,,5.144836693333333,5.858316257999999,7.177764766666667,4.113712117,4.629274405166667,3.4002325523333345,2.080784043666667
73,2023-02-28,,4.636604674666667,5.359857932,6.649985363333333,3.6299143299999996,4.133259502333333,2.906661072666666,1.6165336413333327
74,2023-03-31,,4.128372656,4.861399605999999,6.1222059600000005,3.2927219329999997,3.7105472944999995,2.559694983,1.2988886289999986
75,2023-04-30,,4.040409422,4.812531142666666,6.083111189333334,2.955529536,3.497969479,2.183407815333334,0.9128277686666664
76,2023-05-31,,3.952446188,4.763662679333333,6.044016418666667,2.852905763,3.4026759755000002,2.0416892716666677,0.7613355323333337
77,2023-06-30,,3.864482954,4.714794216,6.004921648,2.75028199,3.307382472,1.8999707280000004,0.6098432960000002
78,2023-07-31,,3.639688022666667,4.460678206666667,5.809447794666666,2.5670252524999997,3.1033566375833335,1.7460350685000003,0.39726548050000066
