iso2,share,country
EU,0.543,European |Union
CN,0.18,China
KR,0.046,South Korea
AU/CA/US,0.037,"Australia, Canada, USA"
JP,0.026,Japan
TR,0.024,Türkiye
GB,0.022,United Kingdom
Other,0.123,Other
