Days,VIX50,VIX16,VIX84,VIX5,VIX95,SP50050,SP50016,SP50084,SP5005,SP50095,DGS150,DGS116,DGS184,DGS15,DGS195,spend_all50,spend_all16,spend_all84,spend_all5,spend_all95,emp_combined50,emp_combined16,emp_combined84,emp_combined5,emp_combined95,,Zero
1,4.273693756,1.592068534,6.199387289,0.506446442,7.274595741,-1,-1.449363042,-0.21982183,-1.730058326,0.343017888,-0.338909009,-0.607533818,-0.029061906,-0.787005818,0.200623083,-0.013575754,-0.160847191,0.141952605,-0.251176973,0.247676081,-0.003069433,-0.086421519,0.079894555,-0.120605088,0.116254977,,0
2,3.463407754,1.26995649,5.110506597,0.380359885,6.043245801,-0.79169279,-1.170892387,-0.161398547,-1.388479924,0.298421471,-0.326738525,-0.607397196,-0.036877817,-0.810236605,0.163185341,-0.051376475,-0.17402483,0.078367926,-0.253605651,0.171079888,-0.01478649,-0.08417855,0.060742368,-0.112594821,0.096903598,,0
3,3.046491546,1.13110834,4.563746501,0.255590996,5.39931736,-0.776902391,-1.13220828,-0.185636297,-1.349954144,0.253509335,-0.43232581,-0.771409887,-0.08014077,-0.999582219,0.167993365,-0.103701137,-0.218033883,0.01146947,-0.295450462,0.094448782,-0.011998133,-0.077771078,0.059251401,-0.107786654,0.093883274,,0
4,2.781426966,1.023553832,4.172746383,0.15962437,4.93596058,-0.71885687,-1.048189011,-0.191248314,-1.256081401,0.201019229,-0.539733727,-0.940696825,-0.108202166,-1.19761619,0.174852923,-0.137323572,-0.257330739,-0.021878694,-0.342075884,0.063341862,-0.024721341,-0.085990173,0.046629113,-0.115673082,0.083987441,,0
5,2.552049944,0.906864707,3.873156728,0.099902043,4.621091058,-0.669737237,-0.97106702,-0.205881865,-1.168456755,0.151081455,-0.695953332,-1.182230674,-0.167649534,-1.493312752,0.176368446,-0.179831068,-0.315031867,-0.047285444,-0.405119418,0.047548426,-0.031655494,-0.092556308,0.043448672,-0.123690055,0.082399143,,0
6,2.368351451,0.836632359,3.631728239,0.016423538,4.368958138,-0.637669199,-0.922317312,-0.218182409,-1.117039084,0.098724516,-0.830820564,-1.387868005,-0.212740079,-1.757270552,0.186738744,-0.228056909,-0.377605348,-0.066888259,-0.476082641,0.04286891,-0.048279797,-0.108162819,0.030006279,-0.139857664,0.073634779,,0
7,2.302074069,0.798102964,3.548427467,-0.009303794,4.289666476,-0.604688781,-0.884757969,-0.222638894,-1.063451102,0.058025368,-0.939267912,-1.558965144,-0.238478577,-1.957193405,0.209747219,-0.270706102,-0.43413021,-0.081388695,-0.539150543,0.047664799,-0.060342341,-0.120496548,0.019000885,-0.153732758,0.066334683,,0
8,2.195585453,0.751936577,3.440250591,-0.069746694,4.170452605,-0.605338993,-0.882941907,-0.22694825,-1.061394025,0.029266508,-1.027224018,-1.683085861,-0.271648483,-2.117516585,0.238804895,-0.297750893,-0.469612497,-0.092006981,-0.578905055,0.051578049,-0.07554127,-0.136836827,0.004494381,-0.175215009,0.054823392,,0
9,2.181889445,0.729400727,3.404411572,-0.091315021,4.15941584,-0.588742401,-0.863900648,-0.219466995,-1.034260133,0.010658475,-1.054204195,-1.752032959,-0.259486073,-2.207412064,0.282404545,-0.323035472,-0.501140262,-0.104082545,-0.619062548,0.052069449,-0.089631143,-0.153222495,-0.008706556,-0.193604139,0.046911455,,0
10,2.120635265,0.707865338,3.32551566,-0.118922383,4.08219578,-0.594671059,-0.873689939,-0.222755411,-1.043255551,-0.005416011,-1.070079506,-1.789448622,-0.235915254,-2.271772942,0.341647497,-0.344856852,-0.528234302,-0.114683105,-0.649104731,0.049220765,-0.103506612,-0.170959966,-0.019674586,-0.214058692,0.039154907,,0
