,x1,y1,x2,y2,x3,y3,x4,y4
0,1961.221595919426,0.3039929956524739,1961.221595919426,0.2879425160444413,1961.221595919426,0.2701474190877096,1961.221595919426,0.2533990925401973
1,1961.6692141436845,0.2984102201366365,1961.6692141436845,0.2879425160444413,1961.702785510504,0.27454385480643156,1961.6692141436845,0.2582840211165551
2,1962.1168323679435,0.2956188323787178,1962.0608800899108,0.29119913509534645,1962.1354831272877,0.27770742759873945,1962.038499178698,0.265053136429508
3,1962.5644505922016,0.2991080670761162,1962.3406414800725,0.30748223034987227,1962.7882597043315,0.29212959768131935,1962.4525460361367,0.25444586294941685
4,1963.012068816461,0.30329514871299423,1962.5644505922016,0.3221370160789455,1963.2358779285896,0.29212959768131935,1962.900164260396,0.24328031191774202
5,1963.4596870407192,0.3005037609550755,1962.7882597043315,0.3381874956869781,1963.6834961528489,0.2809640466496446,1963.3477824846543,0.23490614864398587
6,1963.9073052649776,0.2963166793181975,1963.1239733725247,0.34900412324891306,1964.1311143771072,0.2743345007245876,1963.795400708913,0.22792767924918916
7,1964.3549234892369,0.2998059140155958,1963.5156393187517,0.3367918018080187,1964.5787326013656,0.28305758746808357,1964.1870666551397,0.22792767924918916
8,1964.8025417134952,0.3064354599406528,1963.8513529869456,0.32423055689738456,1965.3061122157865,0.3046908425919536,1964.5787326013656,0.23909323028086402
9,1965.194207659721,0.3139954684516827,1964.243018933172,0.3193456283210268,1965.4739690498832,0.3172520875025878,1964.970398547592,0.25165447519149814
10,1965.921587274142,0.3277197915947829,1964.6906371574305,0.3249284038368642,1965.7537304400448,0.32981333241322197,1965.3061122157865,0.262820026223173
11,1966.257300942336,0.331906873231661,1965.0263508256248,0.33051117935270163,1965.921587274142,0.3423745773238561,1965.64182588398,0.2753812711338072
12,1966.8168237226591,0.3353961079290594,1965.250159937754,0.34377027120281556,1966.201348664304,0.35493582223449033,1965.9775395521744,0.2870120534584684
13,1967.264441946918,0.34132780691463666,1965.4739690498832,0.3605185977503277,1966.928728278724,0.3881998596830216,1966.257300942336,0.3018994548340349
14,1967.7120601711763,0.35039981712787244,1965.6977781620128,0.37726692429784003,1967.7120601711763,0.39855125595197016,1966.4251577764328,0.3291154854737423
15,1968.7192011757584,0.3584250569318887,1965.921587274142,0.3940152508453522,1968.1596783954355,0.40169156717962873,1966.611665369874,0.34749212154670717
16,1969.1668194000167,0.3587739804016286,1966.257300942336,0.3999469498309295,1968.607296619694,0.40099372024014907,1966.760871444627,0.3563315161134497
17,1969.614437624276,0.35772720999240903,1966.704919166595,0.3947130977848319,1969.0549148439525,0.40099372024014907,1967.074204201608,0.3834079773652611
18,1970.0620558485343,0.35772720999240903,1967.600155615112,0.424720516182458,1969.5025330682115,0.40448295493754743,1967.3203942249504,0.3828496998136775
19,1970.509674072793,0.3619142916292871,1967.8239647272408,0.43867745497205163,1969.9501512924696,0.40727434269546614,1967.54420333708,0.3730798426609619
20,1970.957292297052,0.3667992202056448,1968.1596783954355,0.4498430060037264,1970.3977695167289,0.40936788351390513,1967.935869283306,0.3594718273411083
21,1971.4049105213105,0.3702884549030432,1968.607296619694,0.4432134600786695,1970.8453877409872,0.40971680698364493,1968.3834875075645,0.3584250569318887
22,1971.852528745569,0.3727309191912221,1969.0549148439525,0.4383285315023117,1971.181101409181,0.41774204678766125,1968.8311057318235,0.36330998550824645
23,1972.300146969828,0.3779647712373197,1969.5025330682115,0.4470516182458077,1971.4049105213105,0.42890759781933613,1969.2787239560816,0.3647056793872058
24,1972.7477651940865,0.3835475467531571,1969.9501512924696,0.45682147539852325,1971.684671911472,0.4393753019115313,1969.7263421803405,0.3647056793872058
25,1973.5310970865391,0.3922706334966531,1970.3977695167289,0.45542578151956375,1971.9644333016336,0.4526343937616451,1970.1739604045997,0.36610137326616515
26,1973.978715310798,0.3954109447243116,1970.8453877409872,0.45123869988268583,1972.35609924786,0.44751684953879417,1970.6215786288576,0.3713352253122628
27,1974.4263335350563,0.39820233248223036,1971.181101409181,0.45821716927748257,1972.6918129160545,0.43542083592114644,1971.013244575084,0.37633646171186713
28,1974.8739517593156,0.4002958733006693,1971.4049105213105,0.47217410806707605,1973.0834788622808,0.4275119039403768,1971.3489582432785,0.3879672440365284
29,1975.321569983574,0.4023894141191084,1971.62871963344,0.4868288937961493,1973.475144808507,0.43588606721413287,1971.5354658367196,0.39913279506820315
30,1975.8810927638967,0.40448295493754743,1971.852528745569,0.5007858325857429,1973.8668107547333,0.448447312124767,1972.5239560819573,0.3999469498309295
31,1976.328710988156,0.4041340314678076,1972.132290135731,0.5075316863340464,1974.314428978992,0.457170398868263,1972.96358112364,0.39102447824758224
32,1976.7203769343823,0.4042503392910542,1972.4680038039248,0.4959009040093851,1974.7620472032504,0.46484671520253945,1973.385621163655,0.3950387596899224
33,1977.671565660932,0.411810347802084,1972.7477651940865,0.4847353529777102,1975.2096654275088,0.46659133255123864,1973.9041122734216,0.40401772364456096
34,1978.0072793291256,0.4156485059692222,1973.0834788622808,0.47775688358291346,1975.657283651768,0.4610085570354012,1974.7620472032504,0.42437159271271824
35,1978.566802109449,0.424720516182458,1973.475144808507,0.487526740735629,1976.5525201002847,0.46694025602097855,1975.0977608714445,0.42541836312193765
36,1979.014420333708,0.431350062107515,1973.810858476701,0.49822706047431736,1977.000138324544,0.4753144192947346,1975.377522261606,0.41402019644376964
37,1979.4060862799345,0.43123375428426836,1974.2025244229271,0.5077643019805396,1977.4477565488023,0.4756633427644745,1975.5453790957035,0.4002958733006693
