,product,prod,exp,year
0,Corn,3.5,12.0,2021
1,Wheat,4.3,9.0,2021
2,Sunflower oil,30.6,46.0,2021
3,Sunflower meal,27.5,54.0,2021
4,Barley,6.8,17.0,2021
5,Rapseed,4.2,20.0,2021
0,Corn,2.1,4.9,2022
1,Wheat,2.8,4.9,2022
2,Sunflower oil,21.4,34.7,2022
3,Sunflower meal,19.0,39.8,2022
4,Barley,3.9,5.9,2022
5,Rapseed,4.0,16.6,2022
