,Food Price Index,month
0,135.5941547494758,2022.1.01
1,141.23544955718793,2022.2.01
2,159.71318001343587,2022.3.01
3,158.43504100824666,2022.4.01
4,158.05282975550662,2022.5.01
5,154.70821372674277,2022.6.01
6,140.5724121024886,2022.7.01
7,137.57955105100112,2022.8.01
8,136.04175202121962,2022.9.01
9,135.37847253330085,2022.10.01
10,134.7375273257023,2022.11.01
11,131.79457812874588,2022.12.01
12,130.26692056188062,2023.1.01
13,129.69429159266286,2023.2.01
14,126.9307210701548,2023.3.01
