,country,s1,se1,s2,se2,s3,se3
31,Sweden,-60.791889181298984,3.7520947147047674,-33.752393559541986,3.62528116562411,-27.294630741828133,4.801687192529309
32,Switzerland,-52.22776724081596,2.9985118560622452,-19.499103302562176,2.724272797644897,-5.159195193293564,3.4999460301514946
33,Türkiye,-37.439479728893915,13.413751701693231,-54.61259632441787,9.457037627790301,-44.31906594240178,11.537607341681031
34,United Kingdom,3.900741224937036,5.644740448321994,11.557681388281914,5.049379487436695,15.667825089971203,5.629750064650758
35,United States,-9.322718345578105,6.980269821390955,16.193195374556367,6.1286831876414745,28.00030937438424,6.717494092416787
36,OECD average,-29.47995970930019,1.226740018295378,-15.46969344585319,1.158398701282298,-4.865259472344398,1.307477543557979
37,Albania,-42.827685647891315,14.082403495853368,-51.8017401941521,13.439751889317423,-50.97743273080201,13.470303201266642
38,Argentina,-8.064624392632316,5.595075803712019,3.895219970602321,5.1049382545382445,11.152873252291693,4.973240541291566
39,Baku,-8.612167098585376,6.027969323578909,-10.686032547361842,5.684344174193851,-10.441200792750323,5.643949638934143
40,Brazil,-46.48327612963535,15.248815859030552,-45.70465242398068,14.577750316850274,-30.84461873372102,15.505751403651
41,Brunei Darussalam,54.990649469371604,4.191568589750727,46.83905619349493,4.0956167810100075,40.300920336805156,4.163094454399682
42,Bulgaria,-27.138687338462148,17.73108707576159,-34.25402655758445,18.339806472136583,-21.57543182853378,19.472769305780925
43,Croatia,-13.793444255450945,4.521411054710779,-4.683343369000109,4.161289650603481,-1.4406329975282297,4.040916215590971
44,Cyprus,6.8183319976101915,3.964342864477136,20.3023410427559,3.6752082289105745,10.348873463939269,3.9063149705230575
45,Dominican Republic,-22.742630749158355,5.1253835134054375,-16.378703259445697,5.121189667510835,-11.833417986236249,5.143004246968604
46,El Salvador,-17.355227996128637,15.063926428655058,-28.667068579141148,12.919481312701722,-24.657220801734795,12.033606918143702
47,Georgia,-38.28369246074461,15.774162593396953,-39.7396570741667,14.625949447773547,-32.02412481025308,14.027759917921175
48,Guatemala,-15.350709449854007,27.780593531211352,-22.919856591996993,23.393025955177837,-21.06100730178396,23.669689564820235
49,Hong Kong,-7.693361299626135,3.511375063724897,6.776383228579961,3.281641401987819,14.35458804415676,3.1059753075134227
50,Indonesia,-67.03298068981465,12.916668770996738,-87.52651557481683,13.57661166028649,-88.89221159929369,13.58990311783872
51,Jamaica,-33.89561908887168,13.560684266629808,-37.76062126371417,13.1234397922644,-32.09373411889453,13.176654365949663
52,Jordan,6.910807448803739,3.7194393832418395,9.524650573033616,3.63732197500195,9.917116559294003,3.648853361562298
53,Kazakhstan,4.803662381152337,4.081233814979885,12.048303335154337,3.916757326153037,12.063728176405125,3.913224293989496
54,Kosovo,-14.548343254289406,8.140782764543756,-17.098894203327614,7.939311862486657,-16.644800837264338,7.910499045210248
55,Macao,17.288230733203786,2.8038033956136523,25.753827898227044,2.7613052320247014,24.649406376384434,2.7663808992206147
56,Malaysia,-27.411798596128456,10.824939645100072,-14.636216276659537,10.89527103441792,-16.012268029960392,11.041588475626678
57,Malta,6.822096814737749,6.186276966467058,5.857501222649283,6.341990008075138,4.585115193015951,6.372975374240435
58,Moldova,-9.566860965661789,8.964986894457494,-18.477587151661336,8.953157127986964,-17.343481861681777,8.970888356089196
59,Montenegro,3.2533905404837884,5.146748687812689,-2.0423400094862276,5.502099902560606,0.7374180027804309,5.218476481479588
60,Morocco,-48.83610354315829,9.730820107663478,-58.92673306362133,10.276598377746597,-58.21253791902768,10.336608272150125
61,North Macedonia,-40.750206865480685,9.548419536371059,-43.97090989436231,8.888285726427263,-39.151747804671736,9.05560440776251
62,Palestinian Authority,-20.86488702408269,7.204237266899109,-32.19353055766771,7.597036420443418,-29.252932910085875,7.39885664450231
63,Panama,55.62911504976441,11.793956684760651,42.43424051700663,9.35053050036802,47.89327599637973,9.021921577683967
64,Paraguay,19.169731011392425,16.98055051002937,10.116080449972017,16.54794850409029,18.573534543031624,16.54688371547967
65,Peru,-23.36218247831712,11.638801740461956,-31.181324258435918,11.040315489551046,-31.386486593267882,10.801253715622405
66,Philippines,-63.172189920342944,9.258354448923388,-77.78853559414428,8.797929865161867,-74.24698010919028,8.672353563126883
67,Qatar,71.2477632714204,2.446525616731806,65.70715092500144,2.466210868472461,60.738743654002,2.3216588177487223
68,Romania,-33.392779342141054,22.343143092705695,-43.719583923939396,17.167290170218376,-33.0255245120405,16.471780350711988
69,Saudi Arabia,29.689039023342737,4.786990985388443,27.11168628056098,4.151828225117377,27.02558270770484,4.063961746535709
70,Serbia,6.528725484646195,4.016083582902681,1.9644557300670353,3.8078878939752316,3.383302595559527,3.854083167577235
71,Singapore,29.799253387956913,3.292659763003647,14.732637648348405,3.321449877441174,18.949124347434726,3.575720496031751
72,Chinese Taipei,-68.59522183800856,19.580763443398357,-55.66974159528295,20.764854256853443,-47.11370556964559,19.338988074286593
73,Thailand,-32.3934554570574,8.484805562872609,-11.644053862096554,10.484767577806153,-9.76387333437559,10.559686807978592
74,Ukrainian regions,-4.503693373754903,20.12504191001113,-13.585350902504505,23.34360554472776,-17.857767557560514,23.635456354691712
75,United Arab Emirates,90.47148127844316,1.7912711393503062,88.33420645499469,1.841007302665189,88.32817311751569,1.8323641704284757
76,Uruguay,8.233265545063851,12.179996384060907,-10.327376700717778,10.280877149305008,-7.178011628697099,10.208799014112927
77,Uzbekistan,-27.90114977468378,7.639524839406628,-30.287271984706997,7.760164612189822,-31.06505686181526,7.730712213443334
