,country,s1,se1,s2,se2,s3,se3
0,Australia,24.12938681582787,3.5074845597792734,26.151019684613416,2.9269931597187915,24.81023088409072,2.8075571828935035
1,Austria,-55.93183767689185,4.26321248278578,-25.25218831343176,4.121901681264567,-5.054515187461263,5.047710396382452
2,Belgium,-56.76119411294249,4.113965353745299,-25.104297388184868,3.704154614626638,-16.76846168477344,4.403320918492874
3,Canada,11.878833646263985,3.215622069946427,16.169838950004312,2.7861243245813347,14.540553086704845,3.0969437496261967
4,Chile,-28.659268056649264,6.250538702643153,-17.75772256501973,6.260939928536107,-16.9251984464698,6.296573558356281
5,Colombia,-22.35563624990952,8.599775690832793,-22.09004011779456,8.295139301624483,-21.734406485031514,8.29642029550195
6,Costa Rica,m,m,m,m,m,m
7,Czech Republic,-25.014260628861358,6.545752273803121,-12.85856818312627,6.558284111557365,21.91598034141829,8.766267377863105
8,Denmark,-53.250477397056265,4.216752423887972,-27.779341449010758,4.378692289860669,-21.2015532746451,4.393629615349402
9,Estonia,-24.485288130159322,5.8374790973572095,-19.950830489931597,5.375265798203639,-18.2904545224018,5.470230966508147
10,Finland,-63.86152190008404,3.568406232800822,-42.311283434466745,3.2374973959588407,-28.684873784359436,5.468378628379298
11,France,-49.685121147723024,5.342888162853531,-16.623313482861743,4.908134241988183,-8.93527300202136,5.051315602336079
12,Germany,-57.23130740466772,4.46498418885767,-31.947796623649964,4.16019638203213,-8.286856437345982,4.454790543233697
13,Greece,-40.12673977969632,4.295513588299419,-12.936101296616881,3.979579007341637,-1.4222947292283086,4.538712087399427
14,Hungary,11.221704269245272,9.785741710035541,6.927449234432107,8.616881540007007,11.772904158745275,8.775244530923366
15,Iceland,-36.0675873786669,5.885560432444406,-14.942909177099304,5.700574782113973,-1.994886200942476,9.198037361757093
16,Ireland,-8.211614829816554,3.413102334871733,-0.2885788633886727,3.3030935520512963,0.20450846261318653,4.175661470013952
17,Israel,-10.856251306450055,5.243741239375856,0.7564642501180106,4.388513289702486,10.961382681076064,5.134191835056315
18,Italy,-29.648894235364278,4.875318966341639,-3.1345040572986393,4.54275165491862,6.222238739373258,4.858798056313899
19,Japan,-32.96901411834052,17.51907535965673,-29.436036466683586,15.888656202240977,11.776744791035837,16.13911270584339
20,Latvia,8.423648550211913,8.418538827328154,3.2948365300263642,8.41367450074123,8.1877760845074,8.333474835907118
21,Lithuania,-14.67493724260148,8.976981464009151,-13.949161792922277,8.418599718753528,-4.7440543599637195,7.871692120718905
22,Mexico,-64.12120909529423,8.339193081133994,-55.79540678879292,8.631083795930053,-51.79539900569475,8.329269130593422
23,Netherlands,-58.48799595004953,7.496846195768123,-26.99680194624698,6.986964203784618,-10.018528707949285,8.014800935398265
24,New Zealand,13.287313901170416,4.892071267594347,16.428200340971095,4.175141552957107,24.222890083958475,5.19644779464805
25,Norway,-34.94891408067207,4.603167409730558,-9.35505957016798,4.628523304872373,-11.267055764342729,6.0543100342292595
26,Poland,-42.84908081582716,14.95194770958291,-45.425720961384336,16.693470429386025,-30.078534249492137,21.188244662096185
27,Portugal,-32.07614216532247,4.907748877549795,-24.8047150079434,4.04646687711777,-19.93256279854039,4.594823981453763
28,Slovak Republic,-10.409679207358598,10.57356104051691,-16.218733206049226,10.75414021356171,16.985809106099758,11.106458037582165
29,Slovenia,-60.00483361637793,5.145326423101506,-29.3595336603391,5.03421741367942,-6.290345440559538,6.106632198916053
30,Spain,-32.16955720979333,2.507577247954917,-6.735218328931883,2.653041853090943,-5.355088457286001,2.696486457960023
