,country,score,p,se
0,Australia,487.0842535121308,14.55321697559217,0.8102955562983436
1,Austria,487.2674989673573,19.380426572843607,1.0979428763954342
2,Belgium,489.48681674494503,21.82770861752561,1.1645711857594123
3,Canada,496.9478944357039,10.2114050730424,0.7845174004914687
4,Chile,411.6965707080961,12.47063055679331,1.1811839597641043
5,Colombia,382.6968351295674,16.161623804613033,2.0916004153257637
6,Costa Rica,384.57604112435735,m,m
7,Czech Republic,486.9992078519244,22.04457455219559,1.2180757742450325
8,Denmark,489.273876942411,12.185310001091564,0.9014816376404021
9,Estonia,509.9469532247615,13.448288856800714,1.1520202193174072
10,Finland,484.13922563776697,12.436134058582411,0.7675627515646019
11,France,473.9444184205984,21.479257253640405,1.311238897462561
12,Germany,474.82645390785706,18.701856004139888,1.2837465872633858
13,Greece,430.1463218532806,11.80753213824346,1.1286261439193912
14,Hungary,472.77612237193983,25.11546832891256,1.4595086450131958
15,Iceland,458.89644981037986,9.261581577452704,1.1352111968544762
16,Ireland,491.6482795918828,12.963634983096469,1.1691592053003936
17,Israel,457.8966665933153,19.618548844892263,1.378445296610911
18,Italy,471.2594754762866,13.478256720834105,1.5168590923624603
19,Japan,535.5793059957158,11.862322399874891,1.5144641393342448
20,Korea,527.3025017804583,12.602963940215467,1.3676275875890678
21,Latvia,483.1594552018177,13.245126052533571,1.0260138683804387
22,Lithuania,475.14676197725714,16.527956163289147,1.2080980494285722
23,Mexico,395.02991921871023,10.396172076223593,1.2989413989040486
24,Netherlands,492.6756389784962,15.132954707402451,1.2916225401873271
25,New Zealand,479.07419345237787,15.847492987403486,1.3653486185357808
26,Norway,468.44994989168754,9.601254044244895,0.8893047068392008
27,Poland,488.9600537637015,16.25077949160974,1.2980464090939785
28,Portugal,471.91052210574856,18.239494859446516,1.2882359945952966
29,Slovak Republic,463.9946184782649,25.71580847074042,1.7861835867434894
30,Slovenia,484.5290086483499,15.737864103669851,1.0700185578520003
31,Spain,473.1402080246069,14.19723268117417,0.7740045056627243
32,Sweden,481.76606539700737,14.965190214708732,1.0479022527494914
33,Switzerland,507.99058644870297,20.82458127722047,1.2047442393093788
34,Türkiye,453.15176740183233,12.587587589649502,1.2044150904629254
35,United Kingdom,488.9750850657636,10.952920312739684,1.322511625266095
36,United States,464.88804301212303,14.90592072512953,1.3858654681942968
37,OECD average,472.3576499228968,15.46497436159912,0.2080180383922624
38,Albania,368.2217199510451,4.480923271290157,0.8582364737142825
39,Argentina,377.52902864845396,15.376894964951854,1.330110192683488
40,Baku,396.8822928708397,5.21327538449882,0.8487928625647037
41,Brazil,378.6913669469825,14.843975330531995,1.252411381374925
42,Brunei Darussalam,442.09310447098136,15.99710436190065,0.8665107432378497
43,Bulgaria,417.30390037486825,17.241715010977078,1.8201916334075599
44,Cambodia,336.39604125930657,1.924552182698394,1.0240447197895512
45,Croatia,463.1051893674915,12.977361827178314,1.2516543200083496
46,Cyprus,418.30668002350967,10.928528184771475,0.8320809779420673
47,Dominican Republic,339.10724673258596,10.131045650645722,1.4000952310938777
48,El Salvador,343.4691009767227,14.359786965063249,1.8383849111255406
49,Georgia,390.0242203216826,7.816715725966625,1.0087739288400235
50,Guatemala,344.19948813728763,12.12262095440013,2.224134310832132
51,Hong Kong,540.3518012286893,5.750398581067449,1.0817683469754447
52,Indonesia,365.525253871577,5.514987486322111,1.3251964084156516
53,Jamaica,377.41693921863487,6.117051504021196,0.9426387381011361
54,Jordan,361.22802836657854,5.2432926756455025,1.0024877084330361
55,Kazakhstan,425.4391288356629,3.9398009618560694,0.5193845994609084
56,Kosovo,354.9624438264088,5.677540035170059,0.7175145604029266
57,Macao,551.923153064622,4.955975226811804,0.6707818378761916
58,Malaysia,408.6874321942563,18.05127407296724,1.718659646928527
59,Malta,466.01611291105684,9.986508906957134,1.0279830772622727
60,Moldova,414.1980631976307,15.61100776492125,1.3681964079455278
61,Mongolia,424.59312854284474,18.130724574914836,1.3677975572395944
62,Montenegro,405.6011733379937,9.470825915697189,0.8737751071164398
63,Morocco,364.7662406960326,8.464446220380589,2.6169170862884403
64,North Macedonia,388.5755067832621,12.532985427070061,0.8027598862662428
65,Palestinian Authority,365.7466764424854,7.41521666532023,0.9968027721166622
66,Panama,356.57350391859563,20.006005561545535,2.4962658931468167
67,Paraguay,337.53975043615014,11.199950427762722,1.4060263991900928
68,Peru,391.23578464022944,17.283951742455663,1.4500376810579285
69,Philippines,354.7197127888579,4.774886408837635,1.2827262015348542
70,Qatar,414.1062217855216,11.676385288197716,0.8156685355078294
71,Romania,427.7599966689727,25.837529500765307,1.6115534200837394
72,Saudi Arabia,388.781606995968,6.417315481428372,0.9202321232839037
73,Serbia,439.8766666814576,13.390348615322306,1.8390984125680254
74,Singapore,574.6638195932204,17.040786452619194,0.9895992084386206
75,Chinese Taipei,547.0941643886057,15.651006097430548,1.6945837716483558
76,Thailand,393.9453559167338,10.135008648815663,1.9832347839944746
77,Ukrainian regions,440.84530888926423,13.754827451714657,1.8604814036538773
78,United Arab Emirates,431.11047658355506,5.82248391135892,0.44210327962046425
79,Uruguay,408.7120663921702,17.898127005971833,1.2990085816941919
80,Uzbekistan,363.9353746814326,2.009521997583448,0.49233412120710235
81,Viet Nam,469.40242748130413,13.770956299764844,1.9791518086569073
