pre_tax,tax,earning,amount
36900,8741.55,before_childcare,30410.05
36900,8741.55,after_childcare,18250.05
37000,8784.55,before_childcare,30467.05
37000,8784.55,after_childcare,18307.05
37100,8827.55,before_childcare,30524.05
37100,8827.55,after_childcare,18364.05
37200,8870.55,before_childcare,30581.05
37200,8870.55,after_childcare,18421.05
37300,8913.55,before_childcare,30638.05
37300,8913.55,after_childcare,18478.05
37400,8956.55,before_childcare,30695.05
37400,8956.55,after_childcare,18535.05
37500,8999.55,before_childcare,30752.05
37500,8999.55,after_childcare,18592.05
37600,9042.55,before_childcare,30809.05
37600,9042.55,after_childcare,18649.05
37700,9085.55,before_childcare,30866.05
37700,9085.55,after_childcare,18706.05
37800,9128.55,before_childcare,30923.05
37800,9128.55,after_childcare,18763.05
37900,9171.55,before_childcare,30980.05
37900,9171.55,after_childcare,18820.05
38000,9214.55,before_childcare,31037.05
38000,9214.55,after_childcare,18877.05
38100,9257.55,before_childcare,31094.05
38100,9257.55,after_childcare,18934.05
38200,9300.55,before_childcare,31151.05
38200,9300.55,after_childcare,18991.05
38300,9343.55,before_childcare,31208.05
38300,9343.55,after_childcare,19048.05
38400,9386.55,before_childcare,31265.05
38400,9386.55,after_childcare,19105.05
38500,9429.55,before_childcare,31322.05
38500,9429.55,after_childcare,19162.05
38600,9472.55,before_childcare,31379.05
38600,9472.55,after_childcare,19219.05
38700,9515.55,before_childcare,31436.05
38700,9515.55,after_childcare,19276.05
38800,9558.55,before_childcare,31493.05
38800,9558.55,after_childcare,19333.05
38900,9601.55,before_childcare,31550.05
38900,9601.55,after_childcare,19390.05
39000,9644.55,before_childcare,31607.05
39000,9644.55,after_childcare,19447.05
39100,9687.55,before_childcare,31664.05
39100,9687.55,after_childcare,19504.05
39200,9730.55,before_childcare,31721.05
39200,9730.55,after_childcare,19561.05
39300,9773.55,before_childcare,31778.05
39300,9773.55,after_childcare,19618.05
39400,9816.55,before_childcare,31835.05
39400,9816.55,after_childcare,19675.05
39500,9859.55,before_childcare,31892.05
39500,9859.55,after_childcare,19732.05
39600,9902.55,before_childcare,31949.05
39600,9902.55,after_childcare,19789.05
39700,9945.55,before_childcare,32006.05
39700,9945.55,after_childcare,19846.05
39800,9988.55,before_childcare,32063.05
39800,9988.55,after_childcare,19903.05
39900,10031.55,before_childcare,32120.05
39900,10031.55,after_childcare,19960.05
40000,10074.55,before_childcare,32177.05
40000,10074.55,after_childcare,20017.05
40100,10117.55,before_childcare,32234.05
40100,10117.55,after_childcare,20074.05
40200,10160.55,before_childcare,32291.05
40200,10160.55,after_childcare,20131.05
40300,10203.55,before_childcare,32348.05
40300,10203.55,after_childcare,20188.05
40400,10246.55,before_childcare,32405.05
40400,10246.55,after_childcare,20245.05
40500,10289.55,before_childcare,32462.05
40500,10289.55,after_childcare,20302.05
40600,10332.55,before_childcare,32519.05
40600,10332.55,after_childcare,20359.05
40700,10375.55,before_childcare,32576.05
40700,10375.55,after_childcare,20416.05
40800,10418.55,before_childcare,32633.05
40800,10418.55,after_childcare,20473.05
40900,10461.55,before_childcare,32690.05
40900,10461.55,after_childcare,20530.05
41000,10504.55,before_childcare,32747.05
41000,10504.55,after_childcare,20587.05
41100,10547.55,before_childcare,32804.05
41100,10547.55,after_childcare,20644.050000000003
41200,10590.55,before_childcare,32861.05
41200,10590.55,after_childcare,20701.050000000003
41300,10633.55,before_childcare,32918.05
41300,10633.55,after_childcare,20758.050000000003
41400,10676.55,before_childcare,32975.05
41400,10676.55,after_childcare,20815.050000000003
41500,10719.55,before_childcare,33032.05
41500,10719.55,after_childcare,20872.050000000003
41600,10762.55,before_childcare,33089.05
41600,10762.55,after_childcare,20929.050000000003
41700,10805.55,before_childcare,33146.05
41700,10805.55,after_childcare,20986.050000000003
41800,10848.55,before_childcare,33203.05
41800,10848.55,after_childcare,21043.050000000003
41900,10891.55,before_childcare,33260.05
41900,10891.55,after_childcare,21100.050000000003
42000,10934.55,before_childcare,33317.05
42000,10934.55,after_childcare,21157.050000000003
42100,10977.55,before_childcare,33374.05
42100,10977.55,after_childcare,21214.050000000003
42200,11020.55,before_childcare,33431.05
42200,11020.55,after_childcare,21271.050000000003
42300,11063.55,before_childcare,33488.05
42300,11063.55,after_childcare,21328.050000000003
42400,11106.55,before_childcare,33545.05
42400,11106.55,after_childcare,21385.050000000003
42500,11149.55,before_childcare,33602.05
42500,11149.55,after_childcare,21442.050000000003
42600,11192.55,before_childcare,33659.05
42600,11192.55,after_childcare,21499.050000000003
42700,11235.55,before_childcare,33716.05
42700,11235.55,after_childcare,21556.050000000003
42800,11278.55,before_childcare,33773.05
42800,11278.55,after_childcare,21613.050000000003
42900,11321.55,before_childcare,33830.05
42900,11321.55,after_childcare,21670.050000000003
43000,11364.55,before_childcare,33887.05
43000,11364.55,after_childcare,21727.050000000003
43100,11407.55,before_childcare,33944.05
43100,11407.55,after_childcare,21784.050000000003
43200,11450.55,before_childcare,34001.05
43200,11450.55,after_childcare,21841.050000000003
43300,11493.55,before_childcare,34058.05
43300,11493.55,after_childcare,21898.050000000003
43400,11536.55,before_childcare,34115.05
